"SESSION_ID","CONSUMED_QUANTITY","DESCRIPTION"
39800000086,47.0000,LSHFO 0.5
39800000088,48.0000,LSHFO 0.5
39800000091,46.0000,LSHFO 0.5
39800000093,47.0000,LSHFO 0.5
39800000095,46.0000,LSHFO 0.5
39800000097,48.0000,LSHFO 0.5
39800000100,45.0000,LSHFO 0.5
39800000102,41.0000,LSHFO 0.5
39800000104,40.0000,LSHFO 0.5
39800000106,40.0000,LSHFO 0.5
39800000108,40.0000,LSHFO 0.5
39800000114,20.0000,LSHFO 0.5
39800000143,2.0000,LSHFO 0.5
39800000147,,LSHFO 0.5
39800000149,,LSHFO 0.5
39800000156,,ULSMGO 0.1
39800000156,0.0000,LSHFO 0.5
39800000158,,ULSMGO 0.1
39800000158,10.0000,LSHFO 0.5
39800000161,0.0000,ULSMGO 0.1
39800000161,44.0000,LSHFO 0.5
39800000163,,ULSMGO 0.1
39800000163,40.0000,LSHFO 0.5
39800000165,,ULSMGO 0.1
39800000165,40.0000,LSHFO 0.5
39800000167,,ULSMGO 0.1
39800000167,28.0000,LSHFO 0.5
39800000170,,ULSMGO 0.1
39800000170,28.0000,LSHFO 0.5
39800000174,0.0000,ULSMGO 0.1
39800000174,0.0000,LSHFO 0.5
39800000178,0.0000,ULSMGO 0.1
39800000178,10.0000,LSHFO 0.5
39800000188,,ULSMGO 0.1
39800000188,,LSHFO 0.5
39800000192,,ULSMGO 0.1
39800000192,2.0000,LSHFO 0.5
39800000211,,ULSMGO 0.1
39800000211,26.0000,LSHFO 0.5
39800000213,0.0000,ULSMGO 0.1
39800000213,21.0000,LSHFO 0.5
39800000220,,ULSMGO 0.1
39800000220,20.0000,LSHFO 0.5
39800000224,,ULSMGO 0.1
39800000224,0.0000,LSHFO 0.5
39800000227,0.0000,ULSMGO 0.1
39800000227,0.0000,LSHFO 0.5
39800000241,,ULSMGO 0.1
39800000241,,LSHFO 0.5
39800000249,,ULSMGO 0.1
39800000249,3.2100,LSHFO 0.5
39800000283,,ULSMGO 0.1
39800000283,,LSHFO 0.5
39800000290,,ULSMGO 0.1
39800000290,,LSHFO 0.5
39800000292,,ULSMGO 0.1
39800000292,,LSHFO 0.5
39800000294,,ULSMGO 0.1
39800000294,,LSHFO 0.5
39800000296,,ULSMGO 0.1
39800000296,,LSHFO 0.5
39800000298,,ULSMGO 0.1
39800000298,,LSHFO 0.5
39800000300,,ULSMGO 0.1
39800000300,,LSHFO 0.5
39800000304,,ULSMGO 0.1
39800000304,3.0000,LSHFO 0.5
39800000309,,ULSMGO 0.1
39800000309,,LSHFO 0.5
39800000311,,ULSMGO 0.1
39800000311,,LSHFO 0.5
39800000313,,ULSMGO 0.1
39800000313,,LSHFO 0.5
39800000315,,ULSMGO 0.1
39800000315,,LSHFO 0.5
39800000326,,ULSMGO 0.1
39800000326,3.0000,LSHFO 0.5
39800000328,,ULSMGO 0.1
39800000328,,LSHFO 0.5
39800000330,,ULSMGO 0.1
39800000330,,LSHFO 0.5
39800000332,,ULSMGO 0.1
39800000332,,LSHFO 0.5
39800000334,,ULSMGO 0.1
39800000334,,LSHFO 0.5
39800000336,,ULSMGO 0.1
39800000336,,LSHFO 0.5
39800000338,,ULSMGO 0.1
39800000338,,LSHFO 0.5
39800000340,,ULSMGO 0.1
39800000340,,LSHFO 0.5
39800000342,,ULSMGO 0.1
39800000342,,LSHFO 0.5
39800000344,,ULSMGO 0.1
39800000344,,LSHFO 0.5
39800000348,,ULSMGO 0.1
39800000348,0.2000,LSHFO 0.5
39800000374,,ULSMGO 0.1
39800000374,0.9200,LSHFO 0.5
39800000385,,ULSMGO 0.1
39800000385,0.0000,LSHFO 0.5
39800000387,,ULSMGO 0.1
39800000387,,LSHFO 0.5
39800000390,,ULSMGO 0.1
39800000390,,LSHFO 0.5
39800000392,0.0000,ULSMGO 0.1
39800000392,0.0000,LSHFO 0.5
39800000394,,ULSMGO 0.1
39800000394,,LSHFO 0.5
39800000406,,ULSMGO 0.1
39800000406,19.0000,LSHFO 0.5
39800000411,,ULSMGO 0.1
39800000411,1.4500,LSHFO 0.5
39800000421,,ULSMGO 0.1
39800000421,1.0000,LSHFO 0.5
39800000428,,ULSMGO 0.1
39800000428,3.7000,LSHFO 0.5
39800000430,,ULSMGO 0.1
39800000430,39.0600,LSHFO 0.5
39800000437,,ULSMGO 0.1
39800000437,,LSHFO 0.5
39800000439,,ULSMGO 0.1
39800000439,2.0000,LSHFO 0.5
39800000441,,ULSMGO 0.1
39800000441,,LSHFO 0.5
39800000443,,ULSMGO 0.1
39800000443,,LSHFO 0.5
39800000445,,ULSMGO 0.1
39800000445,,LSHFO 0.5
39800000453,,ULSMGO 0.1
39800000453,,LSHFO 0.5
39800000455,0.0000,ULSMGO 0.1
39800000455,0.0000,LSHFO 0.5
39800000457,,ULSMGO 0.1
39800000457,,LSHFO 0.5
39800000459,,ULSMGO 0.1
39800000459,,LSHFO 0.5
39800000461,,ULSMGO 0.1
39800000461,,LSHFO 0.5
39800000463,,ULSMGO 0.1
39800000463,,LSHFO 0.5
39800000465,,ULSMGO 0.1
39800000465,,LSHFO 0.5
39800000467,,ULSMGO 0.1
39800000467,,LSHFO 0.5
39800000470,,ULSMGO 0.1
39800000470,,LSHFO 0.5
39800000472,0.0000,ULSMGO 0.1
39800000472,0.0000,LSHFO 0.5
39800000474,,ULSMGO 0.1
39800000474,,LSHFO 0.5
39800000477,,ULSMGO 0.1
39800000477,,LSHFO 0.5
39800000481,,ULSMGO 0.1
39800000481,,LSHFO 0.5
39800000493,,ULSMGO 0.1
39800000493,,LSHFO 0.5
39800000499,,ULSMGO 0.1
39800000499,,LSHFO 0.5
39800000501,,ULSMGO 0.1
39800000501,,LSHFO 0.5
39800000509,,ULSMGO 0.1
39800000509,26.0000,LSHFO 0.5
39800000511,,ULSMGO 0.1
39800000511,50.0000,LSHFO 0.5
39800000513,,ULSMGO 0.1
39800000513,44.0000,LSHFO 0.5
39800000519,,ULSMGO 0.1
39800000519,26.0000,LSHFO 0.5
39800000523,,ULSMGO 0.1
39800000523,3.0000,LSHFO 0.5
39800000527,,ULSMGO 0.1
39800000527,1.0000,LSHFO 0.5
39800000533,,ULSMGO 0.1
39800000533,3.0000,LSHFO 0.5
39800000537,,ULSMGO 0.1
39800000537,,LSHFO 0.5
39800000539,,ULSMGO 0.1
39800000539,,LSHFO 0.5
39800000541,,ULSMGO 0.1
39800000541,,LSHFO 0.5
39800000543,,ULSMGO 0.1
39800000543,,LSHFO 0.5
39800000545,,ULSMGO 0.1
39800000545,,LSHFO 0.5
39800000550,,ULSMGO 0.1
39800000550,,LSHFO 0.5
39800000561,,ULSMGO 0.1
39800000561,,LSHFO 0.5
39800000565,,ULSMGO 0.1
39800000565,,LSHFO 0.5
39800000567,,ULSMGO 0.1
39800000567,,LSHFO 0.5
39800000569,,ULSMGO 0.1
39800000569,,LSHFO 0.5
39800000571,,ULSMGO 0.1
39800000571,,LSHFO 0.5
39800000573,,ULSMGO 0.1
39800000573,,LSHFO 0.5
39800000577,,ULSMGO 0.1
39800000577,0.6700,LSHFO 0.5
39800000583,0.0000,ULSMGO 0.1
39800000583,16.0000,LSHFO 0.5
39800000589,0.0000,ULSMGO 0.1
39800000589,0.0000,LSHFO 0.5
39800000591,,ULSMGO 0.1
39800000591,,LSHFO 0.5
39800000593,,ULSMGO 0.1
39800000593,,LSHFO 0.5
39800000595,,ULSMGO 0.1
39800000595,,LSHFO 0.5
39800000597,,ULSMGO 0.1
39800000597,,LSHFO 0.5
39800000599,,ULSMGO 0.1
39800000599,,LSHFO 0.5
39800000602,,ULSMGO 0.1
39800000602,,LSHFO 0.5
39800000604,,ULSMGO 0.1
39800000604,,LSHFO 0.5
39800000612,,ULSMGO 0.1
39800000612,,LSHFO 0.5
39800000614,,ULSMGO 0.1
39800000614,,LSHFO 0.5
39800000616,,ULSMGO 0.1
39800000616,,LSHFO 0.5
39800000619,0.0000,ULSMGO 0.1
39800000619,0.0000,LSHFO 0.5
39800000629,,ULSMGO 0.1
39800000629,1.0000,LSHFO 0.5
39800000634,,ULSMGO 0.1
39800000634,,LSHFO 0.5
39800000649,,ULSMGO 0.1
39800000649,2.0000,LSHFO 0.5
39800000659,,ULSMGO 0.1
39800000659,2.0000,LSHFO 0.5
39800000670,,ULSMGO 0.1
39800000670,22.0000,LSHFO 0.5
39800000672,,ULSMGO 0.1
39800000672,40.0000,LSHFO 0.5
39800000677,0.0000,ULSMGO 0.1
39800000677,34.0000,LSHFO 0.5
39800000679,,ULSMGO 0.1
39800000679,47.0000,LSHFO 0.5
39800000686,,ULSMGO 0.1
39800000686,48.0000,LSHFO 0.5
39800000688,,ULSMGO 0.1
39800000688,47.0000,LSHFO 0.5
39800000697,,ULSMGO 0.1
39800000697,50.0000,LSHFO 0.5
39800000699,,ULSMGO 0.1
39800000699,51.0000,LSHFO 0.5
39800000701,,ULSMGO 0.1
39800000701,50.0000,LSHFO 0.5
39800000703,,ULSMGO 0.1
39800000703,51.0000,LSHFO 0.5
39800000705,,ULSMGO 0.1
39800000705,50.0000,LSHFO 0.5
