"sessionId","shipName","class","eventName","startGMTDate","endGMTDate","duration","distance","aftDraft","fwdDraft","midDraft","TRIM","displacement","beaufortScale","seaCondition","beaufortScaleDesc","seaConditionDesc","speed","speedGps","Porto","decLatitude","decLongitude"
39800000084,DANIEL PEREIRA,Aframax,NAVEGACAO,"2021-05-24 11:00:00","2021-05-25 11:00:00",24.00,282.00,14.90,14.00,14.45,0.90,128703.71,5,,"5 - Fresh breeze","3 - Slight",11.75,11.75,,-32.1300000,15.1300000
39800000086,DANIEL PEREIRA,Aframax,NAVEGACAO,"2021-05-25 11:00:00","2021-05-26 11:00:00",24.00,254.00,14.90,14.00,14.45,0.90,128703.72,,,"3 - Gentle breeze","2 - Smooth (wavelets)",10.58,10.58,,-30.3800000,10.2500000
39800000088,DANIEL PEREIRA,Aframax,NAVEGACAO,"2021-05-26 11:00:00","2021-05-27 12:00:00",25.00,295.00,14.90,14.00,14.45,0.90,128703.72,,,"3 - Gentle breeze","3 - Slight",11.80,11.80,,-28.5568000,5.2018000
39800000091,DANIEL PEREIRA,Aframax,NAVEGACAO,"2021-05-27 12:00:00","2021-05-28 12:00:00",24.00,284.00,14.90,14.00,14.45,0.90,128703.72,,,"3 - Gentle breeze","2 - Smooth (wavelets)",11.83,11.83,,-27.1400000,0.2100000
39800000093,DANIEL PEREIRA,Aframax,NAVEGACAO,"2021-05-28 10:00:00","2021-05-29 11:00:00",25.00,293.00,14.90,14.00,14.45,0.90,128703.72,,,"1 - Light air","2 - Smooth (wavelets)",11.72,11.72,,-25.2800000,-4.4273000
39800000095,DANIEL PEREIRA,Aframax,NAVEGACAO,"2021-05-29 11:00:00","2021-05-30 11:00:00",24.00,282.00,14.90,14.00,14.45,0.90,128703.72,,,"1 - Light air","5 - Rough",11.75,11.75,,-23.4545000,-9.2853000
39800000097,DANIEL PEREIRA,Aframax,NAVEGACAO,"2021-05-30 09:00:00","2021-05-31 10:00:00",25.00,296.00,14.90,14.00,14.45,0.90,128703.72,,,"1 - Light air","3 - Slight",11.84,11.84,,-22.0100000,-14.2700000
39800000100,DANIEL PEREIRA,Aframax,NAVEGACAO,"2021-05-31 10:00:00","2021-06-01 10:00:00",24.00,288.00,14.90,14.00,14.45,0.90,128703.72,,,"3 - Gentle breeze","3 - Slight",12.00,12.00,,-20.1700000,-19.1400000
39800000102,DANIEL PEREIRA,Aframax,NAVEGACAO,"2021-06-01 10:00:00","2021-06-02 10:00:00",24.00,279.00,14.90,14.00,14.45,0.90,128703.72,,,"3 - Gentle breeze","2 - Smooth (wavelets)",11.63,11.63,,-18.3800000,-23.4400000
39800000104,DANIEL PEREIRA,Aframax,NAVEGACAO,"2021-06-02 10:00:00","2021-06-03 10:00:00",24.00,277.00,14.90,14.00,14.45,0.90,128703.72,,,"2 - Light breeze","1 - Calm (rippled)",11.54,11.54,,-16.5900000,-28.1267000
