shipName,Classe,dias_desde_docagem,consumo_baseline,consumo_por_milha,desvio_consumo_pct,indice_resistencia,status
EDUARDO COSTA,MR 2,688.3731,0.1288,0.2228,73.0237,1.7302,🔴 CRÍTICO
RODRIGO PINHEIRO,Aframax,230.5067,0.107,0.1786,66.8824,1.6688,🔴 CRÍTICO
VICTOR OLIVEIRA,Suezmax,442.5849,0.1413,0.1911,35.2735,1.3527,🔴 CRÍTICO
RENATO GOMES,Aframax,325.3234,0.1281,0.1674,30.68,1.3068,🔴 CRÍTICO
HENRIQUE ALVES,Suezmax,549.1483,0.2152,0.2778,29.0931,1.2909,🔴 CRÍTICO
ROMARIO SILVA,MR 2,472.5421,0.1199,0.1423,18.7279,1.1873,🔴 CRÍTICO
CARLA SILVA,Aframax,262.8112,0.142,0.1679,18.2584,1.1826,🔴 CRÍTICO
GISELLE CARVALHO,Suezmax,919.5972,0.185,0.2187,18.2582,1.1826,🔴 CRÍTICO
RICARDO BARBOSA,Gaseiro 7k,707.3189,0.0438,0.0514,17.2156,1.1722,🔴 CRÍTICO
DANIEL PEREIRA,Aframax,396.6929,0.1721,0.1993,15.7448,1.1574,🔴 CRÍTICO
BRUNO LIMA,Gaseiro 7k,754.2543,0.0552,0.0624,13.0109,1.1301,🟡 ATENÇÃO
FÁBIO SANTOS,Gaseiro 7k,700.0068,0.0564,0.0633,12.1407,1.1214,🟡 ATENÇÃO
THIAGO FERNANDES,MR 2,509.1646,0.1326,0.1437,8.3686,1.0837,🟡 ATENÇÃO
MARIA VALENTINA,Gaseiro 7k,637.4272,0.0576,0.0586,1.6735,1.0167,🟢 OK
MARCOS CAVALCANTI,Suezmax,876.4357,0.2308,0.2204,-4.5149,0.9549,🟢 OK
GABRIELA MARTINS,Aframax,295.0942,0.1661,0.158,-4.8794,0.9512,🟢 OK
RAUL MARTINS,Suezmax,838.6369,0.2271,0.2052,-9.6114,0.9039,🟢 OK
FELIPE RIBEIRO,Suezmax,1019.3977,0.3232,0.2916,-9.7661,0.9023,🟢 OK
LUCAS MENDONÇA,MR 2,309.6054,0.1656,0.1404,-15.2091,0.8479,🟢 OK
RAFAEL SANTOS,Suezmax,623.4278,0.2407,0.1971,-18.1013,0.819,🟢 OK
PAULO MOURA,Suezmax,1001.8711,0.8764,0.2041,-76.7136,0.2329,🟢 OK
TOTAL_FROTA,TODAS,598.1057333333332,0.18642380952380952,0.1696238095238095,10.455023809523812,1.1045476190476191,-
