shipName,Classe,ano,mes,consumo_total,consumo_medio,num_viagens,distancia_total,duracao_total,consumo_por_milha,consumo_por_hora
RODRIGO PINHEIRO,Aframax,2021,3,61.6,12.32,5,392.0,35.95,0.1571,1.7135
TOTAL_FROTA,TODAS,2021,3,61.6,12.32,5,392.0,35.95,0.1571,1.7135
RODRIGO PINHEIRO,Aframax,2021,4,603.03,24.12,25,5252.9,481.55,0.1148,1.2523
ROMARIO SILVA,MR 2,2021,4,140.5,15.61,9,1706.5,149.94,0.0823,0.937
TOTAL_FROTA,TODAS,2021,4,743.53,21.87,34,6959.4,631.49,0.1068,1.1774
DANIEL PEREIRA,Aframax,2021,5,327.0,46.71,7,1992.0,171.0,0.1642,1.9123
RODRIGO PINHEIRO,Aframax,2021,5,1028.66,32.15,32,8321.0,661.42,0.1236,1.5552
ROMARIO SILVA,MR 2,2021,5,432.02,14.9,29,5298.4,500.92,0.0815,0.8625
TOTAL_FROTA,TODAS,2021,5,1787.68,26.29,68,15611.4,1333.34,0.1145,1.3408
BRUNO LIMA,Gaseiro 7k,2021,6,105.0,7.5,14,2526.0,228.25,0.0416,0.46
DANIEL PEREIRA,Aframax,2021,6,458.21,24.12,19,3125.0,287.72,0.1466,1.5926
FÁBIO SANTOS,Gaseiro 7k,2021,6,34.0,5.67,6,835.0,66.16,0.0407,0.5139
LUCAS MENDONÇA,MR 2,2021,6,477.18,17.67,27,6194.8,477.95,0.077,0.9984
MARCOS CAVALCANTI,Suezmax,2021,6,596.0,42.57,14,4121.0,329.5,0.1446,1.8088
MARIA VALENTINA,Gaseiro 7k,2021,6,68.8,6.25,11,1417.0,121.83,0.0486,0.5647
PAULO MOURA,Suezmax,2021,6,446.0,40.55,11,3637.0,265.0,0.1226,1.683
RAUL MARTINS,Suezmax,2021,6,427.0,32.85,13,2598.4,229.75,0.1643,1.8585
RENATO GOMES,Aframax,2021,6,797.0,39.85,20,5592.0,462.0,0.1425,1.7251
RODRIGO PINHEIRO,Aframax,2021,6,530.51,12.34,43,5185.5,481.16,0.1023,1.1026
ROMARIO SILVA,MR 2,2021,6,373.33,10.09,37,4631.5,526.84,0.0806,0.7086
TOTAL_FROTA,TODAS,2021,6,4313.03,20.06,215,39863.2,3476.16,0.1082,1.2407
BRUNO LIMA,Gaseiro 7k,2021,7,216.9,5.56,39,6284.4,514.59,0.0345,0.4215
CARLA SILVA,Aframax,2021,7,163.0,27.17,6,1218.0,113.5,0.1338,1.4361
DANIEL PEREIRA,Aframax,2021,7,70.33,7.81,9,481.0,65.59,0.1462,1.0723
EDUARDO COSTA,MR 2,2021,7,17.26,2.88,6,156.0,40.25,0.1106,0.4288
FELIPE RIBEIRO,Suezmax,2021,7,117.0,39.0,3,803.0,66.5,0.1457,1.7594
FÁBIO SANTOS,Gaseiro 7k,2021,7,156.0,5.03,31,4441.0,399.09,0.0351,0.3909
GABRIELA MARTINS,Aframax,2021,7,167.1,11.94,14,930.9,198.1,0.1795,0.8435
GISELLE CARVALHO,Suezmax,2021,7,749.0,49.93,15,5028.0,348.5,0.149,2.1492
LUCAS MENDONÇA,MR 2,2021,7,294.75,8.93,33,3932.6,404.5,0.075,0.7287
MARCOS CAVALCANTI,Suezmax,2021,7,282.0,23.5,12,2342.0,193.4,0.1204,1.4581
MARIA VALENTINA,Gaseiro 7k,2021,7,137.9,4.76,29,3399.9,333.35,0.0406,0.4137
PAULO MOURA,Suezmax,2021,7,881.0,35.24,25,6409.0,522.4,0.1375,1.6864
RAUL MARTINS,Suezmax,2021,7,1173.0,48.88,24,7288.0,573.0,0.1609,2.0471
RENATO GOMES,Aframax,2021,7,564.0,25.64,22,3446.0,527.8,0.1637,1.0686
RICARDO BARBOSA,Gaseiro 7k,2021,7,100.3,9.12,11,2815.3,219.5,0.0356,0.4569
RODRIGO PINHEIRO,Aframax,2021,7,774.03,23.46,33,6564.0,616.77,0.1179,1.255
ROMARIO SILVA,MR 2,2021,7,185.96,11.62,16,1958.0,226.54,0.095,0.8209
THIAGO FERNANDES,MR 2,2021,7,7.0,2.33,3,27.0,22.0,0.2593,0.3182
TOTAL_FROTA,TODAS,2021,7,6056.53,18.3,331,57524.1,5385.38,0.1053,1.1246
BRUNO LIMA,Gaseiro 7k,2021,8,99.14,4.72,21,2216.8,177.49,0.0447,0.5586
CARLA SILVA,Aframax,2021,8,142.0,10.14,14,1015.0,325.8,0.1399,0.4359
DANIEL PEREIRA,Aframax,2021,8,169.67,18.85,9,1171.4,103.2,0.1448,1.6441
EDUARDO COSTA,MR 2,2021,8,256.57,11.16,23,2662.0,238.76,0.0964,1.0746
FELIPE RIBEIRO,Suezmax,2021,8,1164.0,37.55,31,7196.0,702.1,0.1618,1.6579
FÁBIO SANTOS,Gaseiro 7k,2021,8,85.5,3.72,23,2213.0,189.1,0.0386,0.4521
GABRIELA MARTINS,Aframax,2021,8,839.52,38.16,22,5427.0,482.1,0.1547,1.7414
