shipName,Classe,consumo_por_milha,consumo_por_hora,consumo_por_displacement,eficiencia_transporte,consumo_ton,distance,duration,ranking_eficiencia
FÁBIO SANTOS,Gaseiro 7k,0.0633,0.5131,0.5815,31.1424,7005.187,186602.9,15663.9,1
BRUNO LIMA,Gaseiro 7k,0.0624,0.4659,0.5764,26.9802,6863.369,186623.41,15587.51,2
RICARDO BARBOSA,Gaseiro 7k,0.0514,0.4218,0.588,26.3568,7243.053,201216.36,17492.24,3
MARIA VALENTINA,Gaseiro 7k,0.0586,0.4531,0.598,24.0614,6955.04,195495.7,16081.59,4
ROMARIO SILVA,MR 2,0.1423,0.9712,0.2861,12.9823,13171.155,165903.08,14280.82,5
THIAGO FERNANDES,MR 2,0.1437,1.0428,0.2929,11.6727,12224.841,146823.4,12472.68,6
LUCAS MENDONÇA,MR 2,0.1404,0.9974,0.2876,11.078,13314.23,162151.18,13293.64,7
EDUARDO COSTA,MR 2,0.2228,1.117,0.3427,9.7915,13929.323,153841.97,13056.46,8
RODRIGO PINHEIRO,Aframax,0.1786,1.4529,0.2636,9.5946,36554.4185,315605.6,25834.78,9
RENATO GOMES,Aframax,0.1674,1.4919,0.2806,8.9416,32409.3449,266310.96,22413.29,10
GABRIELA MARTINS,Aframax,0.158,1.4644,0.2699,8.6942,35065.1433,280072.5,23389.78,11
PAULO MOURA,Suezmax,0.2041,1.79,0.2415,8.2191,40510.7407,268397.4,23159.99,12
DANIEL PEREIRA,Aframax,0.1993,1.6354,0.2866,8.0804,36341.66,276279.14,23191.43,13
CARLA SILVA,Aframax,0.1679,1.3478,0.1873,8.0524,16080.25,120302.3,11277.4,14
VICTOR OLIVEIRA,Suezmax,0.1911,1.9349,0.2624,7.8706,34844.42,237517.79,20038.42,15
RAFAEL SANTOS,Suezmax,0.1971,1.9273,0.274,7.2179,39238.317,257216.7,20848.22,16
GISELLE CARVALHO,Suezmax,0.2187,1.964,0.3039,7.0829,43878.923,284103.2,22946.49,17
MARCOS CAVALCANTI,Suezmax,0.2204,1.6791,0.2323,7.0689,37964.911,268618.7,23292.89,18
HENRIQUE ALVES,Suezmax,0.2778,1.8987,0.2472,6.762,37531.9,242878.2,21538.8,19
RAUL MARTINS,Suezmax,0.2052,1.8701,0.2548,6.5942,42594.714,272686.5,23351.23,20
FELIPE RIBEIRO,Suezmax,0.2916,1.9701,0.2593,5.8738,40326.813,232776.2,21184.07,21
TOTAL_FROTA,TODAS,0.16962380952380954,1.3528047619047616,0.32936190476190474,12.10085238095238,554047.7534,4721423.19,400395.63,-
