shipName,Classe,ano,consumo_por_milha,consumo_por_hora,consumo_por_displacement,eficiencia_transporte,consumo_ton,distance,duration
BRUNO LIMA,Gaseiro 7k,2021,0.0619,0.5225,0.643,35.145,730.747,19618.7,1606.65
CARLA SILVA,Aframax,2021,0.1701,1.4812,0.2265,7.4834,2310.6,17794.0,1629.16
DANIEL PEREIRA,Aframax,2021,0.2497,1.7774,0.3484,6.8407,4225.71,28585.1,2395.08
EDUARDO COSTA,MR 2,2021,0.142,1.1064,0.4923,9.4374,1728.148,17316.0,1555.35
FELIPE RIBEIRO,Suezmax,2021,0.2271,1.8479,0.2674,5.9479,5119.46,30237.0,2587.75
FÁBIO SANTOS,Gaseiro 7k,2021,0.1495,0.4706,0.6429,25.2062,647.92,17291.3,1495.99
GABRIELA MARTINS,Aframax,2021,0.1924,1.5084,0.2582,6.501,4398.6063,31230.5,2729.53
GISELLE CARVALHO,Suezmax,2021,0.1788,1.9802,0.3515,8.7915,6122.0,39725.0,3069.63
HENRIQUE ALVES,Suezmax,2021,0.235,2.1073,0.3386,5.2908,3552.0,18985.5,1725.33
LUCAS MENDONÇA,MR 2,2021,0.1094,1.0178,0.3896,12.6549,2306.04,29239.0,2215.71
MARCOS CAVALCANTI,Suezmax,2021,0.2173,1.674,0.227,8.7688,3793.29,29461.0,2491.19
MARIA VALENTINA,Gaseiro 7k,2021,0.0744,0.5536,0.7099,22.933,958.05,25645.9,2125.52
PAULO MOURA,Suezmax,2021,0.1327,1.611,0.2999,8.1854,5384.0,40078.0,3219.59
RAFAEL SANTOS,Suezmax,2021,0.2175,2.3787,0.2804,7.2238,3139.45,13995.0,1137.85
RAUL MARTINS,Suezmax,2021,0.2072,1.8685,0.2604,6.635,5892.14,40703.0,3310.88
RENATO GOMES,Aframax,2021,0.1683,1.8108,0.3465,8.7311,5866.899,43660.8,3537.41
RICARDO BARBOSA,Gaseiro 7k,2021,0.0481,0.4347,0.6233,24.5706,858.45,23970.86,1999.61
RODRIGO PINHEIRO,Aframax,2021,0.2334,1.6491,0.3323,7.8384,6666.21,54032.6,4417.93
ROMARIO SILVA,MR 2,2021,0.1738,0.894,0.3196,13.0535,2285.4,28108.03,2572.3
THIAGO FERNANDES,MR 2,2021,0.1125,1.0776,0.3354,16.3428,1122.78,12170.3,1009.54
TOTAL_FROTA,TODAS,2021,0.1645,1.3542,0.3819,12.5367,67203.7603,562396.59,46877.58
VICTOR OLIVEIRA,Suezmax,2021,0.1346,1.4991,0.1999,8.6012,95.86,549.0,45.58
BRUNO LIMA,Gaseiro 7k,2022,0.0468,0.4238,0.5836,25.7881,1729.871,50130.04,3950.75
CARLA SILVA,Aframax,2022,0.1983,1.5985,0.2692,7.1295,6778.65,48122.4,4442.56
DANIEL PEREIRA,Aframax,2022,0.2012,1.6202,0.322,8.2155,8037.0,60427.0,5017.47
EDUARDO COSTA,MR 2,2022,0.3646,1.6107,0.3866,9.5329,3226.475,36905.52,2770.02
FELIPE RIBEIRO,Suezmax,2022,0.2618,2.1054,0.2985,4.6506,10393.994,50215.2,4735.57
FÁBIO SANTOS,Gaseiro 7k,2022,0.0462,0.4177,0.5548,26.8629,1455.314,39680.3,3324.46
GABRIELA MARTINS,Aframax,2022,0.1485,1.4724,0.2947,9.7108,8320.147,65496.6,5381.09
GISELLE CARVALHO,Suezmax,2022,0.2482,2.0858,0.344,6.4806,10580.43,68167.3,5484.0
HENRIQUE ALVES,Suezmax,2022,0.3467,2.0093,0.2527,4.8152,7508.0,39878.6,4021.93
LUCAS MENDONÇA,MR 2,2022,0.1908,1.0757,0.2618,9.6672,3286.472,37251.78,3152.46
MARCOS CAVALCANTI,Suezmax,2022,0.2059,1.6305,0.2389,7.1332,7825.37,58436.0,5028.11
MARIA VALENTINA,Gaseiro 7k,2022,0.0588,0.4714,0.6408,22.6373,1746.446,45063.4,3762.66
PAULO MOURA,Suezmax,2022,0.1478,1.6932,0.2763,7.2923,7766.48,52938.9,4376.42
RAFAEL SANTOS,Suezmax,2022,0.1963,1.9308,0.3028,6.8686,9152.897,60443.9,4922.98
RAUL MARTINS,Suezmax,2022,0.1666,1.7494,0.2703,7.724,9537.61,62951.6,5193.38
RENATO GOMES,Aframax,2022,0.2327,1.5324,0.2957,6.8123,8354.4075,64958.24,5600.03
RICARDO BARBOSA,Gaseiro 7k,2022,0.0629,0.4416,0.5879,24.8465,1961.333,50507.0,4504.89
RODRIGO PINHEIRO,Aframax,2022,0.2113,1.4831,0.2877,8.0858,8624.22,70922.9,5790.15
ROMARIO SILVA,MR 2,2022,0.1749,1.132,0.2815,10.5975,3534.25,39761.27,4034.54
THIAGO FERNANDES,MR 2,2022,0.1605,1.1034,0.3149,10.6996,2821.561,32272.0,2648.25
