shipName,Classe,ano,mes,consumo_por_milha,consumo_por_hora,consumo_por_displacement,eficiencia_transporte,consumo_ton,distance,duration
RODRIGO PINHEIRO,Aframax,2021,3,1.1131,3.5743,0.2968,6.7122,61.6,392.0,35.95
TOTAL_FROTA,TODAS,2021,3,1.1131,3.5743,0.2968,6.7122,61.6,392.0,35.95
RODRIGO PINHEIRO,Aframax,2021,4,0.6618,1.6932,0.3997,7.8552,602.53,5252.9,428.72
ROMARIO SILVA,MR 2,2021,4,0.1139,0.8899,0.4335,12.9316,140.5,1706.5,149.94
TOTAL_FROTA,TODAS,2021,4,0.5124,1.4741,0.4061,9.2397,743.03,6959.4,578.66
DANIEL PEREIRA,Aframax,2021,5,0.1645,1.9124,0.363,6.0936,327.0,1992.0,171.0
RODRIGO PINHEIRO,Aframax,2021,5,0.1603,1.721,0.2984,8.2186,1027.41,8321.0,656.25
ROMARIO SILVA,MR 2,2021,5,0.3516,1.0701,0.4913,10.1166,432.02,5298.4,500.92
TOTAL_FROTA,TODAS,2021,5,0.2436,1.4592,0.3767,8.8181,1786.43,15611.4,1328.17
BRUNO LIMA,Gaseiro 7k,2021,6,0.1251,0.7298,1.2194,21.0829,104.0,2526.0,203.42
DANIEL PEREIRA,Aframax,2021,6,0.2892,1.8012,0.303,6.2105,458.21,3125.0,287.72
FÁBIO SANTOS,Gaseiro 7k,2021,6,0.1308,0.6153,1.3902,17.6409,34.0,835.0,66.16
LUCAS MENDONÇA,MR 2,2021,6,0.1295,1.065,0.5835,16.1541,476.18,6194.8,441.95
MARCOS CAVALCANTI,Suezmax,2021,6,0.1455,1.8158,0.5326,6.912,596.0,4121.0,329.5
MARIA VALENTINA,Gaseiro 7k,2021,6,0.0865,0.5966,1.3781,16.2829,68.8,1417.0,121.83
PAULO MOURA,Suezmax,2021,6,0.123,1.6842,0.4119,8.2257,446.0,3637.0,265.0
RAUL MARTINS,Suezmax,2021,6,0.2338,2.4219,0.2732,5.5513,412.0,2598.4,193.08
RENATO GOMES,Aframax,2021,6,0.1436,1.732,0.3207,7.0254,797.0,5592.0,462.0
RODRIGO PINHEIRO,Aframax,2021,6,0.1974,1.8611,0.4489,9.2562,525.01,5185.5,418.07
ROMARIO SILVA,MR 2,2021,6,0.1106,0.8765,0.4867,13.5476,360.33,4631.5,397.76
TOTAL_FROTA,TODAS,2021,6,0.1597,1.4212,0.541,11.2991,4277.53,39863.2,3186.49
BRUNO LIMA,Gaseiro 7k,2021,7,0.0506,0.4296,0.9297,64.3154,216.901,6284.4,514.59
CARLA SILVA,Aframax,2021,7,0.129,1.3475,0.4475,8.253,163.0,1218.0,113.5
DANIEL PEREIRA,Aframax,2021,7,0.2216,1.0663,0.2112,7.0023,65.33,481.0,40.59
EDUARDO COSTA,MR 2,2021,7,0.1825,1.0343,0.227,6.4338,16.92,156.0,16.25
FELIPE RIBEIRO,Suezmax,2021,7,0.1447,1.7465,0.229,6.9587,117.0,803.0,66.5
FÁBIO SANTOS,Gaseiro 7k,2021,7,0.0711,0.4979,1.1209,24.3555,154.0,4441.0,375.26
GABRIELA MARTINS,Aframax,2021,7,0.229,0.9897,0.1506,4.8235,166.1,930.9,193.2
GISELLE CARVALHO,Suezmax,2021,7,0.1489,2.1317,0.6335,7.0943,749.0,5028.0,348.5
LUCAS MENDONÇA,MR 2,2021,7,0.1318,1.1535,0.3398,12.8573,292.3,3932.6,280.3
MARCOS CAVALCANTI,Suezmax,2021,7,0.3498,2.6128,0.2705,16.5796,282.0,2342.0,193.4
MARIA VALENTINA,Gaseiro 7k,2021,7,0.142,0.801,1.0844,19.5611,130.9,3399.9,278.85
PAULO MOURA,Suezmax,2021,7,0.1363,1.6166,0.3498,8.2679,881.0,6409.0,522.4
RAUL MARTINS,Suezmax,2021,7,0.1615,2.0464,0.2746,6.5704,1173.0,7288.0,573.0
RENATO GOMES,Aframax,2021,7,0.1453,3.7031,0.3163,10.9045,517.0,3446.0,288.7
RICARDO BARBOSA,Gaseiro 7k,2021,7,0.0526,0.47,1.0893,22.7643,100.3,2815.3,219.5
RODRIGO PINHEIRO,Aframax,2021,7,0.1654,1.4677,0.2604,7.9985,771.33,6564.0,563.92
ROMARIO SILVA,MR 2,2021,7,0.1688,0.8176,0.509,11.1716,185.96,1958.0,226.54
THIAGO FERNANDES,MR 2,2021,7,0.1126,0.821,,10.25,3.0,27.0,3.92
TOTAL_FROTA,TODAS,2021,7,0.1384,1.2791,0.5247,19.0065,5985.041,57524.1,4818.92
BRUNO LIMA,Gaseiro 7k,2021,8,0.0791,0.6583,0.7856,22.2119,99.14,2216.8,177.49
CARLA SILVA,Aframax,2021,8,0.2213,0.8078,0.1399,12.2453,137.0,1015.0,184.9
DANIEL PEREIRA,Aframax,2021,8,0.1938,1.5095,0.327,7.1272,168.67,1171.4,96.05
EDUARDO COSTA,MR 2,2021,8,0.1193,1.0384,0.3228,9.686,256.568,2662.0,238.76
FELIPE RIBEIRO,Suezmax,2021,8,0.1681,1.6429,0.2205,6.106,1164.0,7196.0,702.1
FÁBIO SANTOS,Gaseiro 7k,2021,8,0.0764,0.5549,0.5418,19.9696,85.5,2213.0,189.1
GABRIELA MARTINS,Aframax,2021,8,0.1624,1.6895,0.3087,6.2833,839.52,5427.0,482.1
GISELLE CARVALHO,Suezmax,2021,8,0.1857,1.6699,0.3921,7.3837,793.0,5890.0,473.32
LUCAS MENDONÇA,MR 2,2021,8,0.1122,0.9851,0.369,10.537,451.2,5255.0,453.55
MARCOS CAVALCANTI,Suezmax,2021,8,0.2163,1.3672,0.2489,7.8124,494.0,3970.0,366.8
MARIA VALENTINA,Gaseiro 7k,2021,8,0.0747,0.6054,0.6967,22.4402,129.0,3636.0,319.1
PAULO MOURA,Suezmax,2021,8,0.1251,1.3283,0.1872,9.8914,580.0,4308.0,394.22
RAUL MARTINS,Suezmax,2021,8,0.3638,1.9565,0.2129,7.069,723.0,5395.1,435.65
RENATO GOMES,Aframax,2021,8,0.137,1.7,0.4519,8.5067,993.0,7915.0,606.3
RICARDO BARBOSA,Gaseiro 7k,2021,8,0.0603,0.5304,0.7196,22.4485,175.3,4474.9,396.74
RODRIGO PINHEIRO,Aframax,2021,8,0.199,1.4014,0.262,6.4145,532.72,4068.2,345.34
ROMARIO SILVA,MR 2,2021,8,0.229,1.0593,0.2435,9.5098,345.43,4005.2,330.49
THIAGO FERNANDES,MR 2,2021,8,0.2203,1.2805,0.2612,6.1919,104.13,760.0,76.58
TOTAL_FROTA,TODAS,2021,8,0.1585,1.2079,0.3777,11.5069,8071.178,71578.6,6268.59
BRUNO LIMA,Gaseiro 7k,2021,9,0.066,0.4655,0.3911,32.8592,35.32,929.0,86.66
CARLA SILVA,Aframax,2021,9,0.1171,1.3327,0.3045,8.8987,645.0,5290.0,446.3
DANIEL PEREIRA,Aframax,2021,9,0.1673,1.8237,0.3209,6.2875,946.0,5592.0,506.95
EDUARDO COSTA,MR 2,2021,9,0.1509,1.1338,0.4738,8.7053,443.08,4577.0,393.25
FELIPE RIBEIRO,Suezmax,2021,9,0.1582,1.1962,0.0928,9.1456,177.0,1198.5,103.27
FÁBIO SANTOS,Gaseiro 7k,2021,9,0.0643,0.4512,0.5643,21.7932,104.9,2643.0,249.01
GABRIELA MARTINS,Aframax,2021,9,0.2383,1.4384,0.1768,5.6476,705.25,4866.6,427.43
GISELLE CARVALHO,Suezmax,2021,9,0.1876,2.1176,0.2877,5.497,1317.3,7429.0,622.83
HENRIQUE ALVES,Suezmax,2021,9,0.2261,2.1295,0.2295,5.3263,1089.0,5679.0,531.6
LUCAS MENDONÇA,MR 2,2021,9,0.0761,0.8859,0.4411,15.5955,190.6,2405.5,170.6
MARCOS CAVALCANTI,Suezmax,2021,9,0.3404,1.6345,0.1802,9.7531,468.0,3657.0,372.8
MARIA VALENTINA,Gaseiro 7k,2021,9,0.0769,0.5633,0.7591,20.237,162.8,3937.0,322.59
PAULO MOURA,Suezmax,2021,9,0.1377,1.5756,0.2169,7.9365,876.0,6055.0,512.09
RAFAEL SANTOS,Suezmax,2021,9,0.1829,2.2685,0.3129,5.4941,490.0,2685.0,216.0
RAUL MARTINS,Suezmax,2021,9,0.246,1.9991,0.2016,5.3674,1022.0,6277.7,523.97
RENATO GOMES,Aframax,2021,9,0.1303,1.574,0.28,15.5681,860.2,6726.0,522.4
RICARDO BARBOSA,Gaseiro 7k,2021,9,0.0507,0.4068,0.473,25.1841,110.4,3198.16,275.83
RODRIGO PINHEIRO,Aframax,2021,9,0.18,1.0789,0.0105,5.625,1.6,9.0,1.5
ROMARIO SILVA,MR 2,2021,9,0.1841,1.0998,0.3878,10.1875,371.03,4364.73,335.31
THIAGO FERNANDES,MR 2,2021,9,0.0847,0.8052,0.5226,38.5041,377.25,4049.0,370.66
TOTAL_FROTA,TODAS,2021,9,0.1625,1.3425,0.339,12.4121,10392.73,81568.19,6991.05
BRUNO LIMA,Gaseiro 7k,2021,10,0.0568,0.5213,0.5741,26.3777,104.112,2787.0,226.99
CARLA SILVA,Aframax,2021,10,0.1746,1.7066,0.2408,6.8882,716.0,5420.0,461.49
DANIEL PEREIRA,Aframax,2021,10,0.1536,1.843,0.4346,7.9417,1137.0,8409.0,653.84
EDUARDO COSTA,MR 2,2021,10,0.1528,1.1318,0.3798,11.8278,279.75,3038.0,248.09
FELIPE RIBEIRO,Suezmax,2021,10,0.203,1.9266,0.3469,5.7848,1453.63,8608.0,727.6
FÁBIO SANTOS,Gaseiro 7k,2021,10,0.039,0.4405,0.6802,26.685,181.22,5015.5,400.54
GABRIELA MARTINS,Aframax,2021,10,0.1389,1.5043,0.3531,8.2069,789.37,6330.0,501.7
GISELLE CARVALHO,Suezmax,2021,10,0.1536,1.9283,0.311,18.3868,1040.41,8353.0,543.4
HENRIQUE ALVES,Suezmax,2021,10,0.2666,2.2554,0.1882,5.2948,876.0,4374.5,437.33
