shipName,mae_toneladas,r2,num_registros,consumo_medio_real,coef_distancia,coef_duracao
DANIEL PEREIRA,4.3,0.8622,1252,29.03,0.0357,1.162
ROMARIO SILVA,1.81,0.9145,1291,10.2,0.0736,0.0099
LUCAS MENDONÇA,1.75,0.9199,1301,10.23,0.0423,0.4656
MARCOS CAVALCANTI,5.04,0.8453,1391,27.29,0.0964,0.447
THIAGO FERNANDES,1.78,0.9034,1146,10.67,0.038,0.508
FÁBIO SANTOS,1.01,0.3959,1468,4.77,0.0031,0.3848
BRUNO LIMA,0.55,0.9531,1422,4.83,0.005,0.3762
GISELLE CARVALHO,5.63,0.8402,1348,32.55,0.1051,0.5476
VICTOR OLIVEIRA,5.67,0.8312,1102,31.62,0.1205,0.2347
CARLA SILVA,3.22,0.9002,926,17.37,0.0698,0.6913
MARIA VALENTINA,0.76,0.9269,1377,5.05,0.007,0.3351
HENRIQUE ALVES,4.6,0.8967,1300,28.87,0.084,0.8054
RAUL MARTINS,5.41,0.8594,1321,32.24,0.1103,0.516
RAFAEL SANTOS,6.62,0.2434,1185,33.11,0.103,0.5514
RENATO GOMES,4.36,0.8145,1198,27.05,0.0577,0.7157
PAULO MOURA,4.8,0.8655,1265,32.02,0.1144,0.4215
RICARDO BARBOSA,0.81,0.9335,1386,5.23,0.0017,0.3889
FELIPE RIBEIRO,4.94,0.7694,1280,31.51,0.0745,1.0304
GABRIELA MARTINS,3.93,0.8765,1295,27.08,0.0459,0.9643
RODRIGO PINHEIRO,3.85,0.8915,1463,24.99,0.0268,1.0751
EDUARDO COSTA,1.38,0.9425,1146,12.15,0.0058,1.0122
TOTAL_FROTA,3.439047619047619,0.8278904761904762,26863,20.85047619047619,0.05812380952380953,0.602052380952381
