shipName,ano,mes,consumo_por_milha_previsto
BRUNO LIMA,2026,1,0.0416
CARLA SILVA,2026,1,0.1049
DANIEL PEREIRA,2026,1,0.123
EDUARDO COSTA,2026,1,0.087
FELIPE RIBEIRO,2026,1,0.1903
FÁBIO SANTOS,2026,1,0.0403
GABRIELA MARTINS,2026,1,0.109
GISELLE CARVALHO,2026,1,0.1425
HENRIQUE ALVES,2026,1,0.1211
LUCAS MENDONÇA,2026,1,0.0835
MARCOS CAVALCANTI,2026,1,0.1521
MARIA VALENTINA,2026,1,0.0325
PAULO MOURA,2026,1,0.1791
RAFAEL SANTOS,2026,1,0.1227
RAUL MARTINS,2026,1,0.1601
RENATO GOMES,2026,1,0.1037
RICARDO BARBOSA,2026,1,0.0348
RODRIGO PINHEIRO,2026,1,0.0957
ROMARIO SILVA,2026,1,0.0727
THIAGO FERNANDES,2026,1,0.0731
TOTAL_FROTA,2026,1,0.1048047619047619
VICTOR OLIVEIRA,2026,1,0.1312
BRUNO LIMA,2026,2,0.0415
CARLA SILVA,2026,2,0.1058
DANIEL PEREIRA,2026,2,0.1229
EDUARDO COSTA,2026,2,0.0892
FELIPE RIBEIRO,2026,2,0.1904
FÁBIO SANTOS,2026,2,0.0399
GABRIELA MARTINS,2026,2,0.1084
GISELLE CARVALHO,2026,2,0.1434
HENRIQUE ALVES,2026,2,0.1207
LUCAS MENDONÇA,2026,2,0.0821
MARCOS CAVALCANTI,2026,2,0.1532
MARIA VALENTINA,2026,2,0.0324
PAULO MOURA,2026,2,0.182
RAFAEL SANTOS,2026,2,0.1243
RAUL MARTINS,2026,2,0.1595
RENATO GOMES,2026,2,0.1048
RICARDO BARBOSA,2026,2,0.0354
RODRIGO PINHEIRO,2026,2,0.0952
ROMARIO SILVA,2026,2,0.0728
THIAGO FERNANDES,2026,2,0.0728
TOTAL_FROTA,2026,2,0.10505714285714285
VICTOR OLIVEIRA,2026,2,0.1295
BRUNO LIMA,2026,3,0.0413
CARLA SILVA,2026,3,0.1066
DANIEL PEREIRA,2026,3,0.1227
EDUARDO COSTA,2026,3,0.0914
FELIPE RIBEIRO,2026,3,0.1906
FÁBIO SANTOS,2026,3,0.0395
GABRIELA MARTINS,2026,3,0.1078
GISELLE CARVALHO,2026,3,0.1444
HENRIQUE ALVES,2026,3,0.1203
LUCAS MENDONÇA,2026,3,0.0807
MARCOS CAVALCANTI,2026,3,0.1542
MARIA VALENTINA,2026,3,0.0323
