shipName,coef_ano,coef_mes,intercepto,r2,tendencia,meses_dados
DANIEL PEREIRA,-0.003675,-0.000166,7.568638,0.0662,📉 DESCENDO,55
ROMARIO SILVA,-0.003172,0.000175,6.498282,0.0411,📉 DESCENDO,55
LUCAS MENDONÇA,-0.002751,-0.001389,5.658927,0.1555,📉 DESCENDO,52
MARCOS CAVALCANTI,0.0057,0.001064,-11.396977,0.2678,📈 SUBINDO,54
THIAGO FERNANDES,-0.00677,-0.000342,13.789542,0.0992,📉 DESCENDO,51
FÁBIO SANTOS,-6.9e-05,-0.000386,0.179725,0.019,📉 DESCENDO,53
BRUNO LIMA,0.001067,-0.000145,-2.119612,0.1044,📈 SUBINDO,53
GISELLE CARVALHO,-0.002546,0.00094,5.299318,0.0594,📉 DESCENDO,52
VICTOR OLIVEIRA,-0.010562,-0.001693,21.532196,0.3191,📉 DESCENDO,47
CARLA SILVA,-0.006646,0.000877,13.569064,0.177,📉 DESCENDO,52
MARIA VALENTINA,-0.001606,-0.000128,3.285919,0.19,📉 DESCENDO,54
HENRIQUE ALVES,-0.015363,-0.000418,31.247118,0.3223,📉 DESCENDO,50
RAUL MARTINS,0.000406,-0.000637,-0.661328,0.0126,📈 SUBINDO,53
RAFAEL SANTOS,-0.007287,0.001567,14.883838,0.0595,📉 DESCENDO,51
RENATO GOMES,-0.00476,0.001062,9.745464,0.2338,📉 DESCENDO,51
PAULO MOURA,0.013702,0.002903,-27.583759,0.2729,📈 SUBINDO,54
RICARDO BARBOSA,0.000221,0.000581,-0.414081,0.0656,📈 SUBINDO,53
FELIPE RIBEIRO,-0.002634,0.000128,5.527085,0.0009,📉 DESCENDO,53
GABRIELA MARTINS,-0.006605,-0.000607,13.490603,0.212,📉 DESCENDO,53
RODRIGO PINHEIRO,-0.00808,-0.000485,16.466945,0.315,📉 DESCENDO,57
EDUARDO COSTA,0.002292,0.002217,-4.559516,0.1896,📈 SUBINDO,52
TOTAL_FROTA,-0.0028160952380952378,0.0002437142857142857,5.809875761904761,0.15156666666666668,📉 DESCENDO,1105
