navio,numero_periodo,tem_docagem,data_docagem,periodo_inicio,periodo_fim,dias_periodo,num_registros,taxa_deterioracao_dia,taxa_deterioracao_mes,taxa_deterioracao_ano,consumo_inicial_estimado,consumo_final_estimado,aumento_percentual_periodo,consumo_medio,consumo_std,r2,mae,rmse,distancia_total_nm,consumo_total_ton
BRUNO LIMA,1,True,2021-09-18,2021-09-18,2025-11-25 11:35:00,1529,1317,3.1e-05,0.000928,0.011295,0.037,0.0843,127.77,0.0603,0.0783,0.0311,0.0356,0.0771,172912.61,6396.71
CARLA SILVA,1,True,2024-02-26,2024-02-26,2025-11-19 14:00:00,632,337,-3.2e-05,-0.000969,-0.011787,0.1517,0.1312,-13.46,0.1432,0.0907,0.004,0.0605,0.0904,34690.0,4069.9
DANIEL PEREIRA,1,True,2023-09-13,2023-09-13,2025-11-24 01:42:00,803,667,5.3e-05,0.001576,0.01918,0.1383,0.1805,30.52,0.1592,0.135,0.008,0.0684,0.1343,145198.5,18061.2
EDUARDO COSTA,1,True,2022-02-14,2022-02-14,2025-11-22 15:00:00,1377,1006,2.2e-05,0.000666,0.008101,0.1574,0.188,19.41,0.1728,0.1712,0.0025,0.1162,0.1709,135311.16,12042.16
FELIPE RIBEIRO,1,True,2019-01-10,2019-01-10,2024-06-20 00:00:00,1988,820,7e-05,0.002096,0.025497,0.142,0.2808,97.82,0.2418,0.124,0.0271,0.0777,0.1222,130704.9,25576.99
FELIPE RIBEIRO,2,True,2024-06-20,2024-06-20,2025-11-21 05:00:00,519,443,-2.4e-05,-0.000728,-0.008851,0.1789,0.1663,-7.04,0.1724,0.1035,0.0012,0.0569,0.1033,101473.0,14214.19
FÁBIO SANTOS,1,True,2022-02-09,2022-02-09,2025-11-24 06:45:00,1384,1256,0.0,1.4e-05,0.000175,0.0459,0.0466,1.45,0.0463,0.0347,0.0,0.0169,0.0347,164300.8,6082.09
GABRIELA MARTINS,1,True,2024-04-13,2024-04-13,2025-11-20 09:30:00,586,465,3.6e-05,0.001066,0.012972,0.1399,0.1607,14.89,0.1504,0.1216,0.0024,0.0634,0.1213,103399.9,12225.1
GISELLE CARVALHO,1,True,2020-05-30,2020-05-30,2025-03-22 00:00:00,1757,1121,8e-06,0.000226,0.002751,0.1868,0.2,7.09,0.1948,0.1259,0.0005,0.0725,0.1258,233960.3,37401.09
GISELLE CARVALHO,2,True,2025-03-22,2025-03-22,2025-10-21 15:00:00,213,200,-0.000199,-0.005973,-0.072667,0.1777,0.1353,-23.87,0.157,0.1171,0.0117,0.0618,0.1161,48780.8,6252.41
HENRIQUE ALVES,1,True,2022-11-09,2022-11-09,2025-11-18 15:00:00,1105,972,-9e-06,-0.000282,-0.003426,0.1837,0.1733,-5.65,0.1785,0.1395,0.0005,0.0759,0.1394,195906.9,27977.4
