navio,data_inspecao,local_inspecao,score_bioincrustacao,condicao_geral,condicao_fundo,condicao_costado,condicao_helice,tipo_incrustacao,periodo_inicio,periodo_fim,dias_desde_docagem,posicao_relativa,taxa_deterioracao_mes,taxa_deterioracao_ano,aumento_percentual,consumo_medio,r2
BRUNO LIMA,2024-05-08,Ipojuca/PE,0.6,0.6,0.6,0.6,0.6,dura,2021-09-18,2025-11-25 11:35:00,963,0.6298234139960759,0.000928,0.011295,127.77,0.0603,0.0311
CARLA SILVA,2025-08-29,Angra dos Reis/RJ,1.0,1.0,1.0,,1.0,dura,2024-02-26,2025-11-19 14:00:00,550,0.870253164556962,-0.000969,-0.011787,-13.46,0.1432,0.004
CARLA SILVA,2025-10-10,Angra dos Reis/RJ,0.5833333333333334,0.5,0.75,0.5,,mista,2024-02-26,2025-11-19 14:00:00,592,0.9367088607594937,-0.000969,-0.011787,-13.46,0.1432,0.004
EDUARDO COSTA,2025-01-11,São Sebastião/SP,0.2625,0.1,0.1,0.05,0.8,dura,2022-02-14,2025-11-22 15:00:00,1062,0.7712418300653595,0.000666,0.008101,19.41,0.1728,0.0025
FELIPE RIBEIRO,2021-09-04,Salvador/BA,1.0,1.0,1.0,1.0,1.0,dura,2019-01-10,2024-06-20 00:00:00,968,0.4869215291750503,0.002096,0.025497,97.82,0.2418,0.0271
FELIPE RIBEIRO,2022-12-31,Angra dos Reis/RJ,0.8,0.8,0.8,0.8,0.8,dura,2019-01-10,2024-06-20 00:00:00,1451,0.7298792756539235,0.002096,0.025497,97.82,0.2418,0.0271
FÁBIO SANTOS,2024-08-10,Fortaleza/CE,0.0,0.0,0.0,0.0,0.0,desconhecido,2022-02-09,2025-11-24 06:45:00,913,0.6596820809248555,1.4e-05,0.000175,1.45,0.0463,0.0
GISELLE CARVALHO,2023-01-10,Angra dos Reis/RJ,0.325,0.1,0.1,0.1,1.0,dura,2020-05-30,2025-03-22 00:00:00,955,0.543540125213432,0.000226,0.002751,7.09,0.1948,0.0005
HENRIQUE ALVES,2025-09-25,Singapura,0.9,,,,0.9,mista,2022-11-09,2025-11-18 15:00:00,1051,0.951131221719457,-0.000282,-0.003426,-5.65,0.1785,0.0005
HENRIQUE ALVES,2025-09-26,Singapura,0.55,,,0.55,,mista,2022-11-09,2025-11-18 15:00:00,1052,0.9520361990950226,-0.000282,-0.003426,-5.65,0.1785,0.0005
MARCOS CAVALCANTI,2024-01-28,Angra dos Reis/RJ,0.225,0.05,0.0,0.05,0.8,mole,2021-05-08,2025-11-24 01:40:00,995,0.5990367248645394,7.3e-05,0.000885,2.22,0.1834,0.0001
MARIA VALENTINA,2024-11-04,Fortaleza/CE,0.0,0.0,0.0,0.0,0.0,desconhecido,2022-04-28,2025-11-04 11:00:00,921,0.7161741835147745,0.000153,0.001858,12.33,0.0563,0.0018
PAULO MOURA,2023-10-28,Angra dos Reis/RJ,0.1,0.1,0.1,0.1,0.1,mole,2021-01-21,2025-11-01 00:00:00,1010,0.5787965616045845,0.001596,0.019413,75.24,0.1765,0.0403
PAULO MOURA,2025-05-18,Singapura,0.7,0.75,0.55,0.75,0.75,dura,2021-01-21,2025-11-01 00:00:00,1578,0.904297994269341,0.001596,0.019413,75.24,0.1765,0.0403
RAFAEL SANTOS,2024-03-25,Singapura,0.3666666666666667,0.45,0.2,0.45,,dura,2022-07-08,2025-11-24 09:00:00,626,0.5068825910931174,-0.000787,-0.009569,-16.99,0.1741,0.0063
RAFAEL SANTOS,2025-06-10,Singapura,0.725,0.75,0.65,0.75,0.75,dura,2022-07-08,2025-11-24 09:00:00,1068,0.8647773279352227,-0.000787,-0.009569,-16.99,0.1741,0.0063
RAFAEL SANTOS,2025-08-23,Angra dos Reis/RJ,0.4,0.8,0.0,,,mole,2022-07-08,2025-11-24 09:00:00,1142,0.9246963562753037,-0.000787,-0.009569,-16.99,0.1741,0.0063
RAUL MARTINS,2023-03-30,São Sebastião/SP,0.20000000000000004,0.1,0.1,,0.4,dura,2020-10-16,2025-05-10 00:00:00,895,0.5368926214757048,0.000556,0.006763,17.59,0.1931,0.0036
RAUL MARTINS,2024-12-08,Gibraltar,0.425,0.5,0.35,,,dura,2020-10-16,2025-05-10 00:00:00,1514,0.9082183563287343,0.000556,0.006763,17.59,0.1931,0.0036
RENATO GOMES,2025-08-17,Rotterdam/NL,0.75,0.75,0.75,0.75,,mista,2024-01-07,2025-11-24 08:00:00,588,0.8558951965065502,0.001162,0.014137,24.25,0.1224,0.0117
RENATO GOMES,2025-09-22,Angra dos Reis/RJ,0.1,0.2,0.0,,,mole,2024-01-07,2025-11-24 08:00:00,624,0.9082969432314411,0.001162,0.014137,24.25,0.1224,0.0117
ROMARIO SILVA,2025-11-10,São Sebastião/SP,0.44999999999999996,0.7,,,0.2,dura,2023-05-18,2025-11-19 01:25:00,907,0.990174672489083,-0.000474,-0.005763,-13.03,0.1035,0.002
