navio,score_medio,score_max,n_inspecoes,taxa_deterioracao,aumento_percentual,consumo_medio,tipo_predominante
FELIPE RIBEIRO,0.9,1.0,2,0.0021,97.82,0.2418,dura
PAULO MOURA,0.4,0.7,2,0.0016,75.24,0.1765,dura
RENATO GOMES,0.425,0.75,2,0.0012,24.25,0.1224,mista
BRUNO LIMA,0.6,0.6,1,0.0009,127.77,0.0603,dura
EDUARDO COSTA,0.2625,0.2625,1,0.0007,19.41,0.1728,dura
RAUL MARTINS,0.3125,0.425,2,0.0006,17.59,0.1931,dura
GISELLE CARVALHO,0.325,0.325,1,0.0002,7.09,0.1948,dura
MARIA VALENTINA,0.0,0.0,1,0.0002,12.33,0.0563,desconhecido
MARCOS CAVALCANTI,0.225,0.225,1,0.0001,2.22,0.1834,mole
FÁBIO SANTOS,0.0,0.0,1,0.0,1.45,0.0463,desconhecido
HENRIQUE ALVES,0.725,0.9,2,-0.0003,-5.65,0.1785,mista
ROMARIO SILVA,0.45,0.45,1,-0.0005,-13.03,0.1035,dura
RAFAEL SANTOS,0.4972,0.725,3,-0.0008,-16.99,0.1741,dura
CARLA SILVA,0.7917,1.0,2,-0.001,-13.46,0.1432,dura
