Sigla,Nome do navio,Tipo,Tipo.1,Classe,Data da aplicacao,Cr1. Período base de verificação,Cr1. Parada máxima acumulada no período
RAS,RAFAEL SANTOS,Suezmax,Petroleiro,56,2018-06-01,35,35
RAS,RAFAEL SANTOS,Suezmax,Petroleiro,56,2022-07-08,52,40
HAL,HENRIQUE ALVES,Suezmax,Petroleiro,56,2013-10-01,35,35
HAL,HENRIQUE ALVES,Suezmax,Petroleiro,56,2022-11-09,52,40
VOL,VICTOR OLIVEIRA,Suezmax,Petroleiro,56,2016-12-01,35,35
FRB,FELIPE RIBEIRO,Suezmax,Petroleiro,56,2018-12-01,35,35
FRB,FELIPE RIBEIRO,Suezmax,Petroleiro,56,2019-01-10,150,150
GIC,GISELLE CARVALHO,Suezmax,Petroleiro,56,2020-02-01,35,35
GIC,GISELLE CARVALHO,Suezmax,Petroleiro,56,2025-03-20,120,120
RMA,RAUL MARTINS,Suezmax,Petroleiro,56,2019-01-01,35,35
RMA,RAUL MARTINS,Suezmax,Petroleiro,56,2020-10-16,28,28
RMA,RAUL MARTINS,Suezmax,Petroleiro,56,2025-05-11,120,120
PMO,PAULO MOURA,Suezmax,Petroleiro,56,2016-10-01,35,35
PMO,PAULO MOURA,Suezmax,Petroleiro,56,2020-01-21,52,40
MCA,MARCOS CAVALCANTI,Suezmax,Petroleiro,56,2017-04-01,35,35
MCA,MARCOS CAVALCANTI,Suezmax,Petroleiro,56,2021-05-08,52,40
DAP,DANIEL PEREIRA,Aframax,Petroleiro,57,2020-04-01,35,35
DAP,DANIEL PEREIRA,Aframax,Petroleiro,57,2023-09-19,28,28
CSI,CARLA SILVA,Aframax,Petroleiro,57,2019-10-01,35,35
CSI,CARLA SILVA,Aframax,Petroleiro,57,2024-02-16,146,120
REG,RENATO GOMES,Aframax,Petroleiro,57,2020-02-01,35,35
GAM,GABRIELA MARTINS,Aframax,Petroleiro,57,2020-05-01,35,35
GAM,GABRIELA MARTINS,Aframax,Petroleiro,57,2024-04-13,35,35
RPI,RODRIGO PINHEIRO,Aframax,Petroleiro,57,2020-01-01,35,35
RPI,RODRIGO PINHEIRO,Aframax,Petroleiro,57,2024-08-26,90,90
EDC,EDUARDO COSTA,Product carrier,Petroleiro,59,2016-08-01,28,28
TFE,THIAGO FERNANDES,Product carrier,Petroleiro,59,2017-12-01,28,28
ROS,ROMARIO SILVA,Product carrier,Petroleiro,59,2017-01-01,28,28
LUM,LUCAS MENDONÇA,Product carrier,Petroleiro,59,2016-01-01,28,28
RBA,RICARDO BARBOSA,LPG carrier 7k,Gaseiro,61,2018-06-01,28,28
BRL,BRUNO LIMA,LPG carrier 7k,Gaseiro,61,2018-09-01,28,28
FSA,FÁBIO SANTOS,LPG carrier 7k,Gaseiro,61,2020-05-01,28,28
MVA,MARIA VALENTINA,LPG carrier 7k,Gaseiro,61,2020-07-01,28,28
