sessionId,shipName,class,eventName,startGMTDate,endGMTDate,duration,distance,aftDraft,fwdDraft,midDraft,TRIM,displacement,beaufortScale,seaCondition,beaufortScaleDesc,seaConditionDesc,speed,speedGps,Porto,decLatitude,decLongitude
44500000006,RODRIGO PINHEIRO,Aframax,EM PORTO,2021-03-22 12:00:00,2021-03-22 12:15:00,0.25,,,,,,,,,,,,,,,
44500000016,RODRIGO PINHEIRO,Aframax,NAVEGACAO,2021-03-22 12:15:00,2021-03-22 13:25:00,1.17,4.5,,,,,,,,,,,,,-8.379,-34.8721
44500000018,RODRIGO PINHEIRO,Aframax,EM PORTO,2021-03-22 13:25:00,2021-03-22 14:40:00,1.25,,,,,,,,,,,,,,,
44500000025,RODRIGO PINHEIRO,Aframax,EM PORTO,2021-03-25 19:45:00,2021-03-25 20:00:00,0.25,,,,,,,,,,,,,,,
44500000027,RODRIGO PINHEIRO,Aframax,NAVEGACAO,2021-03-25 20:00:00,2021-03-25 21:20:00,1.33,4.5,,,,,,,,,,,,,-8.38683,-34.88716
44500000029,RODRIGO PINHEIRO,Aframax,EM PORTO,2021-03-25 21:20:00,2021-03-25 21:30:00,0.17,,,,,,,,,,,,,,,
44500000031,RODRIGO PINHEIRO,Aframax,EM PORTO,2021-03-25 21:30:00,2021-03-26 15:00:00,17.5,,,,,,,,,,,,,,,
44500000033,RODRIGO PINHEIRO,Aframax,EM PORTO,2021-03-26 15:00:00,2021-03-27 15:00:00,24.0,,,,,,,,,,,,,,,
44500000035,RODRIGO PINHEIRO,Aframax,EM PORTO,2021-03-27 15:00:00,2021-03-28 15:00:00,24.0,,,,,,,,,,,,,,,
44500000040,RODRIGO PINHEIRO,Aframax,EM PORTO,2021-03-28 15:00:00,2021-03-29 09:00:00,18.0,,,,,,,,,,,,,,,
44500000042,RODRIGO PINHEIRO,Aframax,EM PORTO,2021-03-29 09:00:00,2021-03-29 09:10:00,0.17,,,,,,,,,,,,,,,
44500000044,RODRIGO PINHEIRO,Aframax,NAVEGACAO,2021-03-29 09:10:00,2021-03-29 11:50:00,2.67,4.5,,,,,,,,,,,,,-8.03935,-34.9513
44500000046,RODRIGO PINHEIRO,Aframax,EM PORTO,2021-03-29 10:35:00,2021-03-29 11:50:00,1.25,,,,,,,,,,,,,,,
44500000056,RODRIGO PINHEIRO,Aframax,EM PORTO,2021-03-31 10:00:00,2021-03-31 10:30:00,0.5,,,,,,,,,,,,,,,
44500000058,RODRIGO PINHEIRO,Aframax,NAVEGACAO,2021-03-31 10:30:00,2021-03-31 12:00:00,1.5,4.5,,,,,,,,,,3.0,3.0,,-8.4275,-34.8383
44500000061,RODRIGO PINHEIRO,Aframax,NAVEGACAO,2021-03-31 12:00:00,2021-04-01 17:17:00,29.28,374.0,14.44,13.67,14.05,0.77,124661.65,,,4 - Moderate breeze,3 - Slight,12.77,12.77,,-12.45916,-38.57083
44500000063,RODRIGO PINHEIRO,Aframax,EM PORTO,2021-04-01 17:17:00,2021-04-01 17:30:00,0.22,,,,,,,,,,,,,,,
44500000065,RODRIGO PINHEIRO,Aframax,EM PORTO,2021-04-01 17:30:00,2021-04-02 15:00:00,21.5,,,,,,,,,,,,,,,
44500000071,RODRIGO PINHEIRO,Aframax,EM PORTO,2021-04-01 21:15:00,2021-04-01 23:45:00,2.5,,,,,,,,,,,,,,,
44500000073,RODRIGO PINHEIRO,Aframax,EM PORTO,2021-04-01 21:30:00,2021-04-01 23:25:00,1.92,,,,,,,,,,,,,,,
44500000075,RODRIGO PINHEIRO,Aframax,EM PORTO,2021-04-02 03:40:00,2021-04-02 09:50:00,6.17,,,,,,,,,,,,,,,
44500000067,RODRIGO PINHEIRO,Aframax,EM PORTO,2021-04-02 15:00:00,2021-04-03 22:28:00,31.47,,,,,,,,,,,,,,,
44500000069,RODRIGO PINHEIRO,Aframax,EM PORTO,2021-04-03 22:28:00,2021-04-03 22:45:00,0.28,,,,,,,,,,,,,,,
44500000077,RODRIGO PINHEIRO,Aframax,NAVEGACAO,2021-04-03 22:45:00,2021-04-03 23:30:00,0.75,8.0,,,,,,,,,,10.67,10.67,,-13.0041,-38.56866
