NOME,DATAHORA,RUMO,VELOCIDADE,LATITUDE,LONGITUDE
BRUNO LIMA,2023-11-25 05:58:41,58.1,12.2,-24.954948,-46.857981
BRUNO LIMA,2023-11-25 06:04:02,58.5,12.2,-24.946165,-46.840565
BRUNO LIMA,2023-11-25 06:26:12,59.2,12.1,-24.910048,-46.768348
BRUNO LIMA,2023-11-25 06:57:31,69.1,12.3,-24.860081,-46.665115
BRUNO LIMA,2023-11-25 07:46:41,62.9,12.2,-24.777231,-46.506615
BRUNO LIMA,2023-11-25 08:08:21,59.6,12.7,-24.746348,-46.433098
BRUNO LIMA,2023-11-25 08:11:32,65.7,12.2,-24.741931,-46.422298
BRUNO LIMA,2023-11-25 09:33:41,56.6,11.9,-24.607681,-46.161081
BRUNO LIMA,2023-11-25 09:56:11,54.9,12.1,-24.572348,-46.088198
BRUNO LIMA,2023-11-25 10:28:10,57.3,12.2,-24.520231,-45.984098
BRUNO LIMA,2023-11-25 10:59:10,62.6,12.2,-24.467765,-45.885765
BRUNO LIMA,2023-11-25 11:05:01,53.7,12.3,-24.457815,-45.867515
BRUNO LIMA,2023-11-25 12:00:51,61.2,11.5,-24.363915,-45.695965
BRUNO LIMA,2023-11-25 12:09:11,57.7,11.6,-24.350148,-45.670681
BRUNO LIMA,2023-11-25 12:11:20,64.3,12.0,-24.346565,-45.664081
BRUNO LIMA,2023-11-25 12:11:52,54.6,11.7,-24.345698,-45.662515
BRUNO LIMA,2023-11-25 12:13:50,62.1,11.7,-24.342398,-45.656398
BRUNO LIMA,2023-11-25 12:16:01,64.5,11.6,-24.338798,-45.649831
BRUNO LIMA,2023-11-25 12:40:02,66.6,12.2,-24.300648,-45.574498
BRUNO LIMA,2023-11-25 13:08:31,66.7,11.7,-24.256365,-45.484015
BRUNO LIMA,2023-11-25 13:18:21,70.1,11.6,-24.241315,-45.453331
BRUNO LIMA,2023-11-25 13:23:30,50.2,12.1,-24.233498,-45.437131
BRUNO LIMA,2023-11-25 13:56:01,67.2,11.6,-24.185765,-45.335631
BRUNO LIMA,2023-11-25 13:56:02,67.2,11.6,-24.185765,-45.335631
BRUNO LIMA,2023-11-25 14:00:51,68.5,11.4,-24.178648,-45.320915
BRUNO LIMA,2023-11-25 14:46:21,72.4,10.8,-24.131681,-45.174765
BRUNO LIMA,2023-11-25 15:03:20,74.7,11.3,-24.116481,-45.119898
BRUNO LIMA,2023-11-25 15:37:22,57.1,12.2,-24.089931,-45.007115
BRUNO LIMA,2023-11-25 15:40:01,69.8,11.2,-24.087848,-44.998231
BRUNO LIMA,2023-11-25 16:39:31,68.1,11.9,-23.991031,-44.814065
BRUNO LIMA,2023-11-25 16:45:21,58.3,11.9,-23.980515,-44.796631
BRUNO LIMA,2023-11-25 16:50:11,56.0,11.8,-23.971698,-44.782231
