NOME,DATAHORA,RUMO,VELOCIDADE,LATITUDE,LONGITUDE
THIAGO FERNANDE,2023-11-26 03:11:55,2.0,8.6,-2.552498,-44.384665
THIAGO FERNANDE,2023-11-26 03:11:58,2.0,8.6,-2.552331,-44.384665
THIAGO FERNANDE,2023-11-26 03:16:41,6.8,8.4,-2.542165,-44.382498
THIAGO FERNANDE,2023-11-26 03:43:40,37.5,13.9,-2.472498,-44.367165
THIAGO FERNANDE,2023-11-26 03:46:26,35.0,13.4,-2.463831,-44.360831
THIAGO FERNANDE,2023-11-26 03:48:29,28.7,14.2,-2.457165,-44.356498
THIAGO FERNANDE,2023-11-26 03:51:45,32.9,13.0,-2.446498,-44.350165
THIAGO FERNANDE,2023-11-26 04:01:40,33.6,12.1,-2.413998,-44.330998
THIAGO FERNANDE,2023-11-26 04:07:06,29.5,13.1,-2.398165,-44.320665
THIAGO FERNANDE,2023-11-26 04:11:12,31.0,12.2,-2.386165,-44.313165
THIAGO FERNANDE,2023-11-26 04:13:19,31.8,11.9,-2.379998,-44.309498
THIAGO FERNANDE,2023-11-26 04:18:58,33.3,12.3,-2.364331,-44.298831
THIAGO FERNANDE,2023-11-26 04:23:39,33.2,11.8,-2.351498,-44.289831
THIAGO FERNANDE,2023-11-26 04:25:59,33.5,11.2,-2.344998,-44.285665
THIAGO FERNANDE,2023-11-26 04:28:11,31.0,12.0,-2.338498,-44.281831
THIAGO FERNANDE,2023-11-26 04:49:18,36.9,11.2,-2.280665,-44.245165
THIAGO FERNANDE,2023-11-26 04:54:15,34.6,11.2,-2.266998,-44.236165
THIAGO FERNANDE,2023-11-26 04:56:32,30.0,12.0,-2.260831,-44.232165
THIAGO FERNANDE,2023-11-26 04:57:19,32.6,11.2,-2.258665,-44.230831
THIAGO FERNANDE,2023-11-26 04:59:26,31.4,11.2,-2.252831,-44.227331
THIAGO FERNANDE,2023-11-26 05:02:09,33.3,10.9,-2.245498,-44.222831
THIAGO FERNANDE,2023-11-26 05:04:03,28.9,11.7,-2.240331,-44.219665
THIAGO FERNANDE,2023-11-26 05:04:16,28.4,11.6,-2.239665,-44.219165
THIAGO FERNANDE,2023-11-26 05:04:19,29.3,11.6,-2.239498,-44.219165
THIAGO FERNANDE,2023-11-26 05:04:32,27.5,11.9,-2.238998,-44.218831
THIAGO FERNANDE,2023-11-26 05:04:36,27.9,11.8,-2.238831,-44.218665
THIAGO FERNANDE,2023-11-26 05:05:32,29.0,11.7,-2.236331,-44.217165
THIAGO FERNANDE,2023-11-26 05:06:32,32.5,10.7,-2.233498,-44.215665
THIAGO FERNANDE,2023-11-26 05:07:12,32.5,10.6,-2.231665,-44.214498
THIAGO FERNANDE,2023-11-26 05:07:36,32.1,10.6,-2.230665,-44.213831
THIAGO FERNANDE,2023-11-26 05:19:40,30.6,11.3,-2.197331,-44.194498
THIAGO FERNANDE,2023-11-26 05:19:43,31.6,11.1,-2.197331,-44.194498
THIAGO FERNANDE,2023-11-26 05:20:33,31.7,10.8,-2.194998,-44.193165
THIAGO FERNANDE,2023-11-26 05:21:00,31.0,11.0,-2.193665,-44.192498
THIAGO FERNANDE,2023-11-26 05:21:25,31.0,11.3,-2.192498,-44.191831
THIAGO FERNANDE,2023-11-26 05:21:27,31.0,11.4,-2.192498,-44.191665
THIAGO FERNANDE,2023-11-26 05:21:54,29.5,11.8,-2.191165,-44.190998
THIAGO FERNANDE,2023-11-26 05:21:57,29.0,12.0,-2.190998,-44.190998
THIAGO FERNANDE,2023-11-26 05:22:07,27.7,12.3,-2.190498,-44.190665
THIAGO FERNANDE,2023-11-26 05:22:13,27.4,12.3,-2.190331,-44.190498
THIAGO FERNANDE,2023-11-26 05:22:27,27.4,12.0,-2.189665,-44.190165
THIAGO FERNANDE,2023-11-26 05:22:31,27.3,12.2,-2.189498,-44.189998
THIAGO FERNANDE,2023-11-26 05:22:54,28.7,12.2,-2.188331,-44.189331
THIAGO FERNANDE,2023-11-26 05:22:57,27.2,12.3,-2.188165,-44.189331
THIAGO FERNANDE,2023-11-26 05:23:20,27.3,12.2,-2.187165,-44.188665
THIAGO FERNANDE,2023-11-26 05:23:33,27.9,12.1,-2.186498,-44.188331
THIAGO FERNANDE,2023-11-26 05:23:37,28.4,12.1,-2.186331,-44.188165
THIAGO FERNANDE,2023-11-26 05:23:57,29.5,11.8,-2.185498,-44.187665
THIAGO FERNANDE,2023-11-26 05:24:40,34.9,10.7,-2.183498,-44.186498
THIAGO FERNANDE,2023-11-26 05:24:43,34.9,10.7,-2.183331,-44.186331
THIAGO FERNANDE,2023-11-26 05:24:45,34.9,10.7,-2.183331,-44.186331
THIAGO FERNANDE,2023-11-26 05:24:50,35.2,10.7,-2.182998,-44.186165
THIAGO FERNANDE,2023-11-26 05:24:57,35.2,10.7,-2.182831,-44.185998
THIAGO FERNANDE,2023-11-26 05:25:03,35.3,10.6,-2.182498,-44.185831
THIAGO FERNANDE,2023-11-26 05:25:25,36.1,10.7,-2.181498,-44.185165
THIAGO FERNANDE,2023-11-26 05:26:07,33.1,11.8,-2.179665,-44.183831
THIAGO FERNANDE,2023-11-26 05:26:13,32.2,12.0,-2.179498,-44.183665
THIAGO FERNANDE,2023-11-26 05:26:44,31.7,12.0,-2.177998,-44.182831
THIAGO FERNANDE,2023-11-26 05:26:47,31.4,12.0,-2.177998,-44.182665
THIAGO FERNANDE,2023-11-26 05:26:51,31.9,12.2,-2.177831,-44.182498
THIAGO FERNANDE,2023-11-26 05:27:03,31.4,12.2,-2.177165,-44.182165
THIAGO FERNANDE,2023-11-26 05:27:37,31.4,12.1,-2.175665,-44.181165
THIAGO FERNANDE,2023-11-26 05:28:03,33.0,11.8,-2.174498,-44.180331
THIAGO FERNANDE,2023-11-26 05:30:25,34.4,11.2,-2.168331,-44.176165
THIAGO FERNANDE,2023-11-26 05:33:25,36.2,10.7,-2.160498,-44.170831
THIAGO FERNANDE,2023-11-26 05:46:52,37.8,10.6,-2.125498,-44.146331
THIAGO FERNANDE,2023-11-26 06:08:49,34.2,11.0,-2.066998,-44.107831
THIAGO FERNANDE,2023-11-26 08:42:40,80.1,12.6,-1.769498,-43.695665
THIAGO FERNANDE,2023-11-26 08:45:34,84.6,13.5,-1.767831,-43.684998
THIAGO FERNANDE,2023-11-26 08:48:00,91.9,12.9,-1.767665,-43.675998
THIAGO FERNANDE,2023-11-26 08:50:32,88.6,11.7,-1.767665,-43.667165
THIAGO FERNANDE,2023-11-26 08:58:33,92.7,13.4,-1.769165,-43.638831
THIAGO FERNANDE,2023-11-26 09:02:28,88.8,14.3,-1.769998,-43.624165
THIAGO FERNANDE,2023-11-26 09:04:33,91.6,13.5,-1.770498,-43.616331
THIAGO FERNANDE,2023-11-26 09:14:49,90.5,13.9,-1.772665,-43.577665
THIAGO FERNANDE,2023-11-26 09:17:29,96.4,13.2,-1.773665,-43.567498
THIAGO FERNANDE,2023-11-26 09:19:37,96.7,13.5,-1.774665,-43.559665
THIAGO FERNANDE,2023-11-26 09:23:11,97.4,13.5,-1.776498,-43.546165
THIAGO FERNANDE,2023-11-26 09:50:20,96.2,13.1,-1.790165,-43.443331
THIAGO FERNANDE,2023-11-26 09:52:24,92.3,14.4,-1.791165,-43.435498
