NOME,DATAHORA,RUMO,VELOCIDADE,LATITUDE,LONGITUDE
MARIA VALENTINA,2023-11-26 17:54:12,84.1,14.7,-2.799981,-57.846048
MARIA VALENTINA,2023-11-26 17:56:24,80.0,14.8,-2.798565,-57.837265
MARIA VALENTINA,2023-11-26 19:11:22,29.0,14.6,-2.584998,-57.652981
MARIA VALENTINA,2023-11-26 20:30:37,104.0,14.4,-2.379798,-57.451498
MARIA VALENTINA,2023-11-26 21:01:20,140.0,14.3,-2.444048,-57.348748
MARIA VALENTINA,2023-11-26 21:03:02,138.0,14.3,-2.449298,-57.344315
MARIA VALENTINA,2023-11-26 21:05:08,138.9,14.4,-2.455681,-57.338898
MARIA VALENTINA,2023-11-26 21:07:25,149.0,14.3,-2.463381,-57.334065
MARIA VALENTINA,2023-11-26 21:22:37,155.0,14.4,-2.516565,-57.304065
MARIA VALENTINA,2023-11-26 21:38:38,160.0,14.9,-2.576981,-57.279848
MARIA VALENTINA,2023-11-26 22:11:50,80.0,14.9,-2.631131,-57.169598
MARIA VALENTINA,2023-11-26 22:14:32,79.0,14.9,-2.629031,-57.158531
MARIA VALENTINA,2023-11-26 22:17:37,80.1,14.9,-2.626631,-57.146031
MARIA VALENTINA,2023-11-26 22:22:07,74.0,14.7,-2.621531,-57.128231
MARIA VALENTINA,2023-11-26 22:46:14,65.0,13.9,-2.551065,-57.062581
MARIA VALENTINA,2023-11-26 22:51:14,69.9,14.3,-2.544065,-57.044231
MARIA VALENTINA,2023-11-26 22:54:44,85.0,14.1,-2.542298,-57.030748
MARIA VALENTINA,2023-11-26 22:59:32,86.0,14.2,-2.540815,-57.011915
MARIA VALENTINA,2023-11-26 23:02:20,91.0,14.2,-2.540198,-57.000831
MARIA VALENTINA,2023-11-26 23:05:26,91.0,14.3,-2.540415,-56.988565
MARIA VALENTINA,2023-11-26 23:07:32,90.0,14.3,-2.540548,-56.980215
MARIA VALENTINA,2023-11-26 23:20:31,99.9,14.3,-2.544631,-56.929131
MARIA VALENTINA,2023-11-27 00:39:44,66.0,13.7,-2.593765,-56.664315
MARIA VALENTINA,2023-11-27 00:40:36,66.0,13.7,-2.592431,-56.661365
MARIA VALENTINA,2023-11-27 00:41:55,64.0,13.9,-2.590281,-56.656781
MARIA VALENTINA,2023-11-27 02:03:32,50.0,13.9,-2.376415,-56.417965
MARIA VALENTINA,2023-11-27 03:11:36,54.0,14.0,-2.200531,-56.232231
MARIA VALENTINA,2023-11-27 03:22:11,55.0,14.2,-2.176498,-56.198465
MARIA VALENTINA,2023-11-27 03:24:36,53.0,14.0,-2.171131,-56.190815
MARIA VALENTINA,2023-11-27 03:26:48,55.0,14.1,-2.166165,-56.183798
MARIA VALENTINA,2023-11-27 03:53:48,50.0,14.6,-2.099648,-56.098331
MARIA VALENTINA,2023-11-27 03:56:05,50.0,14.5,-2.093765,-56.091248
MARIA VALENTINA,2023-11-27 03:58:06,49.0,14.4,-2.088581,-56.085131
MARIA VALENTINA,2023-11-27 03:58:12,50.0,14.4,-2.088281,-56.084781
MARIA VALENTINA,2023-11-27 04:02:00,49.0,14.4,-2.078365,-56.073265
MARIA VALENTINA,2023-11-27 04:30:35,70.0,14.5,-1.997815,-55.993381
MARIA VALENTINA,2023-11-27 04:32:47,71.9,14.7,-1.994865,-55.984948
MARIA VALENTINA,2023-11-27 04:33:47,79.0,14.6,-1.993965,-55.980981
MARIA VALENTINA,2023-11-27 04:36:05,89.0,14.5,-1.992881,-55.971715
MARIA VALENTINA,2023-11-27 04:46:18,81.0,14.0,-1.988698,-55.931431
MARIA VALENTINA,2023-11-27 04:48:36,80.0,14.0,-1.987181,-55.922598
MARIA VALENTINA,2023-11-27 04:52:28,80.9,13.6,-1.984798,-55.907998
MARIA VALENTINA,2023-11-27 04:55:08,92.1,13.4,-1.984465,-55.898048
MARIA VALENTINA,2023-11-27 05:00:18,93.0,13.9,-1.984615,-55.878581
