NOME,DATAHORA,RUMO,VELOCIDADE,LATITUDE,LONGITUDE
HENRIQUE ALVES,2024-01-07 13:55:56,39.8,13.7,-35.436253,-53.125961
HENRIQUE ALVES,2024-01-07 14:13:47,39.5,13.8,-35.3833,-53.072056
HENRIQUE ALVES,2024-01-07 14:15:57,39.0,13.8,-35.376816,-53.065523
HENRIQUE ALVES,2024-01-07 14:51:24,38.3,14.1,-35.269456,-52.959846
HENRIQUE ALVES,2024-01-07 14:59:36,38.5,14.0,-35.243976,-52.935243
HENRIQUE ALVES,2024-01-07 15:08:18,38.9,14.1,-35.216975,-52.90904
HENRIQUE ALVES,2024-01-07 15:11:30,39.5,14.2,-35.207091,-52.899268
HENRIQUE ALVES,2024-01-07 15:14:54,39.2,14.3,-35.196503,-52.888738
HENRIQUE ALVES,2024-01-07 15:46:19,40.3,13.6,-35.102691,-52.791761
HENRIQUE ALVES,2024-01-07 15:48:20,40.9,13.6,-35.09686,-52.785623
HENRIQUE ALVES,2024-01-07 15:51:50,40.7,13.6,-35.08681,-52.775083
HENRIQUE ALVES,2024-01-07 15:56:20,40.8,13.8,-35.073688,-52.761306
HENRIQUE ALVES,2024-01-07 15:59:20,40.8,13.8,-35.064888,-52.752125
HENRIQUE ALVES,2024-01-07 16:01:40,40.2,13.8,-35.058015,-52.744993
HENRIQUE ALVES,2024-01-07 16:04:09,40.9,13.9,-35.05069,-52.737335
HENRIQUE ALVES,2024-01-07 16:26:18,34.6,13.7,-34.981803,-52.677423
HENRIQUE ALVES,2024-01-07 16:30:00,33.3,13.7,-34.970066,-52.667928
HENRIQUE ALVES,2024-01-07 16:32:10,33.2,13.8,-34.963123,-52.662258
HENRIQUE ALVES,2024-01-07 16:37:30,32.7,13.7,-34.945893,-52.648541
HENRIQUE ALVES,2024-01-07 16:41:09,33.1,13.8,-34.934086,-52.63912
HENRIQUE ALVES,2024-01-07 16:43:20,32.2,13.7,-34.92704,-52.633681
HENRIQUE ALVES,2024-01-07 16:45:39,32.3,13.6,-34.919565,-52.627838
HENRIQUE ALVES,2024-01-07 16:49:01,31.3,13.7,-34.908698,-52.619568
HENRIQUE ALVES,2024-01-07 16:56:20,31.2,13.6,-34.884781,-52.601738
HENRIQUE ALVES,2024-01-07 16:57:07,31.6,13.7,-34.882103,-52.599718
HENRIQUE ALVES,2024-01-07 16:57:46,31.6,13.7,-34.879933,-52.598071
HENRIQUE ALVES,2024-01-07 16:58:27,31.7,13.7,-34.877755,-52.59645
HENRIQUE ALVES,2024-01-07 16:58:46,31.8,13.7,-34.876665,-52.595643
HENRIQUE ALVES,2024-01-07 16:59:26,30.8,13.7,-34.874451,-52.59401
HENRIQUE ALVES,2024-01-07 16:59:36,30.6,13.7,-34.873958,-52.593665
HENRIQUE ALVES,2024-01-07 16:59:57,30.2,13.6,-34.87281,-52.592845
HENRIQUE ALVES,2024-01-07 17:00:17,30.1,13.6,-34.871783,-52.59208
HENRIQUE ALVES,2024-01-07 17:01:17,30.5,13.6,-34.868458,-52.589625
HENRIQUE ALVES,2024-01-07 17:29:50,31.4,13.6,-34.77479,-52.521011
HENRIQUE ALVES,2024-01-07 17:35:20,32.3,13.6,-34.757065,-52.507411
HENRIQUE ALVES,2024-01-07 17:38:19,32.2,13.8,-34.747288,-52.499886
HENRIQUE ALVES,2024-01-07 17:46:03,30.9,13.9,-34.721786,-52.480628
HENRIQUE ALVES,2024-01-07 18:00:08,30.3,14.0,-34.674008,-52.445605
HENRIQUE ALVES,2024-01-07 18:00:50,31.1,14.0,-34.67164,-52.443881
HENRIQUE ALVES,2024-01-07 18:01:02,31.4,14.0,-34.671028,-52.443425
HENRIQUE ALVES,2024-01-07 18:01:08,31.5,14.0,-34.670691,-52.443175
HENRIQUE ALVES,2024-01-07 18:01:20,31.6,14.0,-34.66997,-52.442636
HENRIQUE ALVES,2024-01-07 18:02:44,32.6,14.0,-34.665335,-52.439081
HENRIQUE ALVES,2024-01-07 18:02:50,32.8,13.9,-34.665005,-52.43882
HENRIQUE ALVES,2024-01-07 18:03:20,32.9,14.0,-34.663308,-52.43749
HENRIQUE ALVES,2024-01-07 18:06:25,32.7,13.7,-34.653285,-52.429735
HENRIQUE ALVES,2024-01-07 18:16:15,32.3,13.6,-34.621638,-52.405086
HENRIQUE ALVES,2024-01-07 18:25:25,33.2,13.3,-34.59214,-52.381616
HENRIQUE ALVES,2024-01-07 18:27:35,34.2,13.6,-34.585316,-52.376078
HENRIQUE ALVES,2024-01-07 18:37:27,36.7,14.2,-34.55418,-52.349173
HENRIQUE ALVES,2024-01-07 18:40:15,33.7,13.9,-34.54516,-52.341415
HENRIQUE ALVES,2024-01-07 19:14:51,31.1,13.6,-34.43213,-52.256645
HENRIQUE ALVES,2024-01-07 19:38:52,28.2,14.1,-34.350716,-52.201415
HENRIQUE ALVES,2024-01-07 19:39:15,29.0,14.1,-34.349326,-52.200478
HENRIQUE ALVES,2024-01-07 19:41:53,28.0,14.0,-34.340253,-52.19456
HENRIQUE ALVES,2024-01-07 19:49:41,27.9,14.1,-34.312863,-52.176883
HENRIQUE ALVES,2024-01-07 19:53:59,26.0,14.2,-34.297721,-52.16751
HENRIQUE ALVES,2024-01-07 20:06:45,33.1,13.9,-34.254871,-52.135271
HENRIQUE ALVES,2024-01-07 20:10:47,32.8,13.9,-34.241658,-52.125133
HENRIQUE ALVES,2024-01-07 20:21:29,33.7,13.8,-34.207168,-52.097838
HENRIQUE ALVES,2024-01-07 20:25:00,33.6,13.5,-34.195883,-52.08895
HENRIQUE ALVES,2024-01-07 20:28:20,32.7,13.6,-34.185258,-52.080416
HENRIQUE ALVES,2024-01-07 20:58:58,31.6,14.0,-34.086561,-52.002288
HENRIQUE ALVES,2024-01-07 20:59:04,31.6,14.0,-34.086228,-52.002041
HENRIQUE ALVES,2024-01-07 21:01:11,31.7,14.0,-34.079153,-51.996841
HENRIQUE ALVES,2024-01-07 21:02:11,31.6,14.0,-34.07574,-51.994306
HENRIQUE ALVES,2024-01-07 21:04:41,31.9,14.1,-34.067265,-51.988056
HENRIQUE ALVES,2024-01-07 21:28:19,31.2,13.9,-33.987183,-51.929985
HENRIQUE ALVES,2024-01-07 21:30:36,31.4,13.9,-33.979543,-51.924415
HENRIQUE ALVES,2024-01-07 21:34:32,31.3,13.9,-33.966375,-51.91498
HENRIQUE ALVES,2024-01-07 21:47:18,33.5,13.9,-33.923876,-51.882933
HENRIQUE ALVES,2024-01-07 21:50:06,33.4,13.9,-33.914623,-51.875706
HENRIQUE ALVES,2024-01-07 21:52:50,33.3,13.9,-33.905798,-51.868866
HENRIQUE ALVES,2024-01-07 22:02:31,31.2,13.6,-33.874371,-51.844796
HENRIQUE ALVES,2024-01-07 22:09:11,31.0,13.6,-33.852528,-51.828718
HENRIQUE ALVES,2024-01-07 22:11:40,32.8,13.8,-33.844451,-51.822666
HENRIQUE ALVES,2024-01-07 22:33:11,31.4,13.5,-33.775021,-51.771485
HENRIQUE ALVES,2024-01-07 22:38:11,32.7,13.2,-33.759113,-51.75962
HENRIQUE ALVES,2024-01-07 22:40:21,33.0,13.2,-33.752328,-51.754426
HENRIQUE ALVES,2024-01-07 22:43:31,32.6,13.3,-33.742366,-51.746786
HENRIQUE ALVES,2024-01-07 22:45:41,31.3,13.2,-33.73542,-51.741575
HENRIQUE ALVES,2024-01-07 22:46:50,32.5,13.1,-33.731878,-51.738893
HENRIQUE ALVES,2024-01-07 23:10:11,33.7,13.4,-33.657866,-51.682731
