NOME,DATAHORA,RUMO,VELOCIDADE,LATITUDE,LONGITUDE
GISELLE CARVALHO,2024-01-27 17:06:05,26.7,13.3,-35.902886,-52.328755
GISELLE CARVALHO,2024-01-27 17:09:02,26.5,13.2,-35.893051,-52.32269
GISELLE CARVALHO,2024-01-27 17:09:23,27.6,13.2,-35.891858,-52.321945
GISELLE CARVALHO,2024-01-27 17:09:43,27.1,13.1,-35.890825,-52.321306
GISELLE CARVALHO,2024-01-27 17:10:02,27.1,13.1,-35.889776,-52.320651
GISELLE CARVALHO,2024-01-27 17:10:43,27.0,13.0,-35.887643,-52.319338
GISELLE CARVALHO,2024-01-27 17:11:12,27.1,13.0,-35.88603,-52.318345
GISELLE CARVALHO,2024-01-27 17:11:43,26.6,13.0,-35.88435,-52.317298
GISELLE CARVALHO,2024-01-27 17:11:54,26.0,13.0,-35.88375,-52.316928
GISELLE CARVALHO,2024-01-27 17:12:02,26.0,13.0,-35.883318,-52.316665
GISELLE CARVALHO,2024-01-27 17:14:43,25.3,13.1,-35.874583,-52.311358
GISELLE CARVALHO,2024-01-27 17:35:06,25.1,12.9,-35.808106,-52.272603
GISELLE CARVALHO,2024-01-27 18:46:22,27.2,12.4,-35.585405,-52.139051
GISELLE CARVALHO,2024-01-27 18:47:12,27.1,12.3,-35.582805,-52.137441
GISELLE CARVALHO,2024-01-27 18:48:12,27.2,12.4,-35.579835,-52.13556
GISELLE CARVALHO,2024-01-27 18:48:33,28.0,12.4,-35.578735,-52.134863
GISELLE CARVALHO,2024-01-27 18:51:43,26.9,12.3,-35.56899,-52.128713
GISELLE CARVALHO,2024-01-27 19:19:45,26.8,12.6,-35.48252,-52.073626
GISELLE CARVALHO,2024-01-27 20:26:22,27.0,12.8,-35.275088,-51.939088
GISELLE CARVALHO,2024-01-27 20:27:22,27.3,12.9,-35.271861,-51.937093
GISELLE CARVALHO,2024-01-27 21:38:24,26.5,13.1,-35.040596,-51.798416
GISELLE CARVALHO,2024-01-27 22:06:35,27.0,12.8,-34.9508,-51.742253
GISELLE CARVALHO,2024-01-27 22:09:04,27.4,12.7,-34.942945,-51.737313
GISELLE CARVALHO,2024-01-28 00:14:44,31.4,12.7,-34.545808,-51.49699
GISELLE CARVALHO,2024-01-28 00:15:04,31.5,12.7,-34.54469,-51.49617
GISELLE CARVALHO,2024-01-28 00:16:44,31.2,12.8,-34.539708,-51.49247
GISELLE CARVALHO,2024-01-28 00:17:23,29.9,12.8,-34.537585,-51.490951
GISELLE CARVALHO,2024-01-28 00:24:05,29.2,13.0,-34.516656,-51.4766
GISELLE CARVALHO,2024-01-28 01:51:24,36.7,13.1,-34.242256,-51.291545
GISELLE CARVALHO,2024-01-28 01:52:24,36.5,13.0,-34.239348,-51.288941
GISELLE CARVALHO,2024-01-28 01:53:24,36.5,13.1,-34.236371,-51.286266
GISELLE CARVALHO,2024-01-28 01:56:03,36.2,13.1,-34.228518,-51.279253
GISELLE CARVALHO,2024-01-28 01:56:34,36.3,13.0,-34.227061,-51.277938
GISELLE CARVALHO,2024-01-28 04:02:34,37.0,12.5,-33.937466,-50.899726
GISELLE CARVALHO,2024-01-28 04:05:44,36.5,12.6,-33.928588,-50.89177
GISELLE CARVALHO,2024-01-28 04:07:44,36.3,12.6,-33.922973,-50.886741
GISELLE CARVALHO,2024-01-28 04:08:23,36.6,12.7,-33.921175,-50.885138
GISELLE CARVALHO,2024-01-28 04:08:34,36.8,12.7,-33.920693,-50.884711
GISELLE CARVALHO,2024-01-28 04:09:23,36.3,12.7,-33.918281,-50.882558
GISELLE CARVALHO,2024-01-28 04:10:15,36.1,12.7,-33.915891,-50.880423
