NOME,DATAHORA,RUMO,VELOCIDADE,LATITUDE,LONGITUDE
EDUARDO COSTA,2023-11-26 03:12:16,169.6,7.0,-2.539665,-44.385331
EDUARDO COSTA,2023-11-26 03:47:57,347.8,0.3,-2.571068,-44.377561
EDUARDO COSTA,2023-11-26 04:07:17,125.2,0.0,-2.570613,-44.37741
EDUARDO COSTA,2023-11-26 04:26:56,125.5,0.0,-2.570665,-44.377331
EDUARDO COSTA,2023-11-26 11:03:49,125.7,0.0,-2.570665,-44.377331
EDUARDO COSTA,2023-11-26 12:39:49,124.9,0.0,-2.570665,-44.377331
EDUARDO COSTA,2023-11-26 16:09:50,125.5,0.0,-2.570665,-44.377331
EDUARDO COSTA,2023-11-26 16:27:48,125.4,0.0,-2.570665,-44.377331
EDUARDO COSTA,2023-11-26 23:03:49,125.5,0.0,-2.570665,-44.377331
EDUARDO COSTA,2023-11-27 21:17:08,161.8,0.7,-2.570998,-44.377331
EDUARDO COSTA,2023-11-27 21:19:15,160.6,2.2,-2.571665,-44.377165
EDUARDO COSTA,2023-11-27 21:22:15,240.4,4.1,-2.573975,-44.378586
EDUARDO COSTA,2023-11-27 21:50:28,354.5,6.9,-2.526411,-44.385106
EDUARDO COSTA,2023-11-27 21:56:35,354.9,6.8,-2.514831,-44.383665
EDUARDO COSTA,2023-11-27 21:59:25,7.0,6.9,-2.509665,-44.382165
EDUARDO COSTA,2023-11-27 22:05:48,1.0,7.5,-2.49733,-44.378575
EDUARDO COSTA,2023-11-27 22:08:25,17.8,7.2,-2.492498,-44.376331
EDUARDO COSTA,2023-11-27 22:11:55,18.2,7.7,-2.486073,-44.372615
EDUARDO COSTA,2023-11-28 00:24:55,19.7,10.7,-2.193331,-44.190831
EDUARDO COSTA,2023-11-28 00:32:24,22.7,10.6,-2.174938,-44.178395
EDUARDO COSTA,2023-11-28 00:32:54,23.1,10.7,-2.17372,-44.177533
EDUARDO COSTA,2023-11-28 00:33:04,22.4,10.6,-2.17331,-44.177248
EDUARDO COSTA,2023-11-28 00:33:15,22.6,10.6,-2.172831,-44.176998
EDUARDO COSTA,2023-11-28 00:33:35,22.7,10.6,-2.171998,-44.176331
EDUARDO COSTA,2023-11-28 00:34:15,22.6,10.6,-2.170498,-44.175165
EDUARDO COSTA,2023-11-28 00:36:24,22.3,10.6,-2.165198,-44.171586
EDUARDO COSTA,2023-11-28 02:30:01,25.8,12.2,-1.866831,-43.969831
EDUARDO COSTA,2023-11-28 02:58:34,24.1,11.9,-1.790065,-43.91175
EDUARDO COSTA,2023-11-28 02:58:58,24.6,11.9,-1.789043,-43.910985
EDUARDO COSTA,2023-11-28 03:05:44,24.3,11.4,-1.771498,-43.897498
EDUARDO COSTA,2023-11-28 03:07:52,25.5,11.4,-1.766166,-43.893515
EDUARDO COSTA,2023-11-28 03:33:55,23.8,11.0,-1.700998,-43.843831
EDUARDO COSTA,2023-11-28 03:37:25,24.8,10.8,-1.692493,-43.83738
EDUARDO COSTA,2023-11-28 03:41:49,24.9,10.8,-1.681815,-43.829393
EDUARDO COSTA,2023-11-28 03:53:02,24.9,10.7,-1.654831,-43.809165
EDUARDO COSTA,2023-11-28 03:56:34,24.2,10.6,-1.646335,-43.80304
EDUARDO COSTA,2023-11-28 03:58:46,24.0,10.6,-1.641165,-43.799165
EDUARDO COSTA,2023-11-28 04:06:58,23.7,10.4,-1.621726,-43.785053
EDUARDO COSTA,2023-11-28 04:13:25,1.3,10.0,-1.606331,-43.774831
EDUARDO COSTA,2023-11-28 04:15:31,341.2,9.9,-1.600498,-43.774665
EDUARDO COSTA,2023-11-28 04:16:11,333.8,10.1,-1.598665,-43.774998
EDUARDO COSTA,2023-11-28 04:30:43,333.1,10.5,-1.557181,-43.785856
EDUARDO COSTA,2023-11-28 04:42:45,336.2,10.4,-1.522498,-43.793443
EDUARDO COSTA,2023-11-28 05:22:45,335.7,10.3,-1.406921,-43.81784
EDUARDO COSTA,2023-11-28 05:53:37,341.2,10.1,-1.318793,-43.831726
EDUARDO COSTA,2023-11-28 05:56:51,338.9,10.2,-1.309665,-43.832998
EDUARDO COSTA,2023-11-28 05:57:11,339.1,10.2,-1.308665,-43.833165
EDUARDO COSTA,2023-11-28 05:57:43,339.0,10.2,-1.307125,-43.833308
EDUARDO COSTA,2023-11-28 05:58:38,338.6,10.4,-1.304545,-43.833688
EDUARDO COSTA,2023-11-28 05:58:41,338.1,10.4,-1.304331,-43.833665
EDUARDO COSTA,2023-11-28 05:59:18,340.0,10.3,-1.302633,-43.833965
EDUARDO COSTA,2023-11-28 05:59:38,340.2,10.2,-1.301665,-43.834165
EDUARDO COSTA,2023-11-28 05:59:48,340.0,10.3,-1.301198,-43.834153
EDUARDO COSTA,2023-11-28 05:59:58,339.4,10.3,-1.30072,-43.83422
EDUARDO COSTA,2023-11-28 06:00:33,339.2,10.4,-1.299005,-43.834475
EDUARDO COSTA,2023-11-28 06:01:34,339.8,10.3,-1.295998,-43.834831
EDUARDO COSTA,2023-11-28 06:02:34,340.6,10.4,-1.293165,-43.835165
EDUARDO COSTA,2023-11-28 08:27:08,336.7,11.0,-0.866133,-43.922913
EDUARDO COSTA,2023-11-28 15:31:45,283.1,11.8,-0.031523,-44.905765
EDUARDO COSTA,2023-11-28 16:25:02,287.7,11.6,0.049666,-45.059665
EDUARDO COSTA,2023-11-28 16:36:30,285.1,11.7,0.068,-45.092498
EDUARDO COSTA,2023-11-28 18:05:51,288.5,11.6,0.206,-45.348331
EDUARDO COSTA,2023-11-28 21:03:55,287.1,12.0,0.491361,-45.860731
EDUARDO COSTA,2023-11-28 21:08:15,288.0,12.1,0.498666,-45.873498
EDUARDO COSTA,2023-11-28 21:10:42,286.2,12.2,0.502666,-45.880498
EDUARDO COSTA,2023-11-28 21:30:42,287.3,12.2,0.536101,-45.940363
EDUARDO COSTA,2023-11-28 21:32:46,285.3,12.3,0.5395,-45.946498
EDUARDO COSTA,2023-11-29 00:31:28,287.4,11.6,0.827273,-46.467658
EDUARDO COSTA,2023-11-29 00:31:31,286.8,11.7,0.82735,-46.4678
EDUARDO COSTA,2023-11-29 00:34:18,285.1,11.4,0.831723,-46.475648
EDUARDO COSTA,2023-11-29 00:34:25,287.8,11.6,0.831905,-46.475978
EDUARDO COSTA,2023-11-29 00:34:31,286.9,11.6,0.832,-46.476331
EDUARDO COSTA,2023-11-29 00:34:55,287.7,11.6,0.832666,-46.477331
