NOME,DATAHORA,RUMO,VELOCIDADE,LATITUDE,LONGITUDE
RAUL MARTINS,2023-11-25 06:20:49,210.7,12.0,-32.633091,-50.325843
RAUL MARTINS,2023-11-25 06:27:48,210.6,12.1,-32.653366,-50.340183
RAUL MARTINS,2023-11-25 06:50:58,211.4,12.0,-32.720438,-50.388293
RAUL MARTINS,2023-11-25 06:53:38,211.0,12.1,-32.728078,-50.393831
RAUL MARTINS,2023-11-25 06:56:37,210.6,12.2,-32.736823,-50.399991
RAUL MARTINS,2023-11-25 07:01:46,211.4,12.1,-32.751736,-50.410705
RAUL MARTINS,2023-11-25 07:30:46,211.3,12.1,-32.836105,-50.471328
RAUL MARTINS,2023-11-25 07:31:06,211.0,12.1,-32.83712,-50.472065
RAUL MARTINS,2023-11-25 07:31:25,210.2,12.1,-32.838041,-50.472696
RAUL MARTINS,2023-11-25 07:31:36,210.9,12.1,-32.838566,-50.473078
RAUL MARTINS,2023-11-25 07:31:45,210.0,12.1,-32.839,-50.473385
RAUL MARTINS,2023-11-25 07:35:06,211.1,12.0,-32.848626,-50.480226
RAUL MARTINS,2023-11-25 07:35:25,210.6,12.0,-32.849485,-50.480815
RAUL MARTINS,2023-11-25 07:35:45,210.0,12.0,-32.850438,-50.4815
RAUL MARTINS,2023-11-25 07:36:45,210.2,12.0,-32.853343,-50.483563
RAUL MARTINS,2023-11-25 07:38:55,211.6,12.0,-32.859593,-50.487996
RAUL MARTINS,2023-11-25 07:42:26,210.8,12.0,-32.869653,-50.495136
RAUL MARTINS,2023-11-25 08:04:27,210.1,11.8,-32.933071,-50.539216
RAUL MARTINS,2023-11-25 08:37:08,208.1,11.7,-33.02761,-50.601066
RAUL MARTINS,2023-11-25 09:32:49,210.7,12.1,-33.184416,-50.708885
RAUL MARTINS,2023-11-25 09:42:28,207.9,12.2,-33.212855,-50.728246
RAUL MARTINS,2023-11-25 09:45:19,208.3,12.1,-33.221288,-50.733755
RAUL MARTINS,2023-11-25 09:51:49,209.2,12.1,-33.240495,-50.746421
RAUL MARTINS,2023-11-25 10:24:38,207.6,11.9,-33.335576,-50.808315
RAUL MARTINS,2023-11-25 10:30:17,210.3,11.9,-33.351931,-50.818946
RAUL MARTINS,2023-11-25 11:13:08,208.9,11.7,-33.474888,-50.897221
RAUL MARTINS,2023-11-25 12:08:27,209.3,11.7,-33.631353,-51.001886
RAUL MARTINS,2023-11-25 12:10:28,211.2,11.7,-33.637081,-51.005801
RAUL MARTINS,2023-11-25 12:15:37,209.6,11.8,-33.651611,-51.01595
RAUL MARTINS,2023-11-25 12:49:06,210.3,12.1,-33.74897,-51.081085
RAUL MARTINS,2023-11-25 12:50:37,210.9,12.1,-33.753373,-51.08418
RAUL MARTINS,2023-11-25 12:51:37,209.5,12.2,-33.756256,-51.086141
RAUL MARTINS,2023-11-25 12:52:16,210.5,12.1,-33.758178,-51.087546
RAUL MARTINS,2023-11-25 12:54:17,208.6,12.0,-33.763928,-51.091626
RAUL MARTINS,2023-11-25 12:56:19,208.7,12.0,-33.769895,-51.0955
RAUL MARTINS,2023-11-25 13:20:57,210.0,11.6,-33.839693,-51.14206
RAUL MARTINS,2023-11-25 13:24:47,212.8,11.5,-33.85024,-51.149665
RAUL MARTINS,2023-11-25 13:43:19,211.8,11.9,-33.900993,-51.186475
RAUL MARTINS,2023-11-25 13:48:39,212.1,11.8,-33.915845,-51.197805
RAUL MARTINS,2023-11-25 14:32:38,207.6,12.4,-34.045076,-51.291376
RAUL MARTINS,2023-11-25 14:37:59,207.4,12.4,-34.061058,-51.301765
RAUL MARTINS,2023-11-25 14:40:18,207.8,12.3,-34.068095,-51.306411
RAUL MARTINS,2023-11-25 14:47:58,209.6,12.4,-34.091408,-51.32125
RAUL MARTINS,2023-11-25 15:01:58,206.9,12.3,-34.133956,-51.349145
RAUL MARTINS,2023-11-25 15:04:39,207.3,12.4,-34.142035,-51.354285
RAUL MARTINS,2023-11-25 15:31:47,208.0,12.4,-34.225333,-51.408213
RAUL MARTINS,2023-11-25 15:31:48,208.0,12.4,-34.225333,-51.408213
RAUL MARTINS,2023-11-25 15:35:58,209.4,12.3,-34.23803,-51.41654
RAUL MARTINS,2023-11-25 15:36:09,209.7,12.0,-34.23852,-51.416878
RAUL MARTINS,2023-11-25 15:41:59,208.2,12.4,-34.255958,-51.428225
RAUL MARTINS,2023-11-25 16:07:38,208.3,12.5,-34.334775,-51.478185
RAUL MARTINS,2023-11-25 16:11:58,208.4,12.4,-34.348093,-51.486625
RAUL MARTINS,2023-11-25 16:17:48,205.3,12.5,-34.366188,-51.49743
RAUL MARTINS,2023-11-25 16:41:28,205.7,12.1,-34.438973,-51.540646
RAUL MARTINS,2023-11-25 16:46:59,208.3,12.2,-34.455645,-51.550843
RAUL MARTINS,2023-11-25 16:51:58,209.0,12.4,-34.470658,-51.5607
RAUL MARTINS,2023-11-25 17:02:36,211.3,12.7,-34.502763,-51.583061
RAUL MARTINS,2023-11-25 17:02:45,211.0,12.7,-34.503271,-51.583428
RAUL MARTINS,2023-11-25 17:03:45,210.8,12.6,-34.506331,-51.585596
RAUL MARTINS,2023-11-25 17:03:55,210.5,12.6,-34.506841,-51.585953
RAUL MARTINS,2023-11-25 17:07:55,209.1,12.9,-34.519143,-51.594461
RAUL MARTINS,2023-11-25 17:09:15,209.6,12.8,-34.523383,-51.597323
RAUL MARTINS,2023-11-25 17:17:48,211.8,12.9,-34.549615,-51.616263
RAUL MARTINS,2023-11-25 17:21:37,210.2,13.1,-34.561456,-51.624991
RAUL MARTINS,2023-11-25 17:46:37,211.3,13.1,-34.639566,-51.681726
RAUL MARTINS,2023-11-25 17:51:08,211.9,13.0,-34.653343,-51.692525
RAUL MARTINS,2023-11-25 18:01:57,211.7,12.7,-34.686245,-51.716853
RAUL MARTINS,2023-11-25 18:24:08,210.9,12.7,-34.753051,-51.764678
RAUL MARTINS,2023-11-25 18:30:47,211.0,12.9,-34.773311,-51.779366
RAUL MARTINS,2023-11-25 18:37:36,208.1,12.7,-34.794468,-51.793925
RAUL MARTINS,2023-11-25 18:37:45,207.6,12.7,-34.794938,-51.794225
RAUL MARTINS,2023-11-25 18:38:06,207.4,12.8,-34.79598,-51.794876
RAUL MARTINS,2023-11-25 18:38:36,208.2,12.7,-34.797558,-51.795861
RAUL MARTINS,2023-11-25 18:39:06,206.6,12.7,-34.799203,-51.796891
RAUL MARTINS,2023-11-25 18:40:06,207.1,12.7,-34.802308,-51.798836
RAUL MARTINS,2023-11-25 18:40:16,207.1,12.7,-34.802888,-51.799193
RAUL MARTINS,2023-11-25 18:40:25,207.2,12.7,-34.803308,-51.799453
RAUL MARTINS,2023-11-25 18:40:36,206.3,12.8,-34.80394,-51.79984
RAUL MARTINS,2023-11-25 18:41:06,207.6,12.7,-34.80546,-51.800786
RAUL MARTINS,2023-11-25 18:41:16,206.7,12.8,-34.806035,-51.801141
RAUL MARTINS,2023-11-25 18:41:25,206.6,12.8,-34.806455,-51.801403
RAUL MARTINS,2023-11-25 18:45:06,206.6,12.7,-34.818045,-51.808558
RAUL MARTINS,2023-11-25 18:46:46,208.8,12.7,-34.823306,-51.81191
RAUL MARTINS,2023-11-25 18:46:55,208.8,12.6,-34.823771,-51.812218
RAUL MARTINS,2023-11-25 19:29:06,207.8,13.0,-34.95721,-51.897463
RAUL MARTINS,2023-11-25 19:31:06,208.6,13.0,-34.963676,-51.901618
RAUL MARTINS,2023-11-25 19:33:27,207.8,13.1,-34.97122,-51.906533
RAUL MARTINS,2023-11-25 19:36:18,210.1,13.2,-34.980183,-51.912821
RAUL MARTINS,2023-11-25 19:40:17,208.5,13.1,-34.992996,-51.921458
RAUL MARTINS,2023-11-25 19:43:18,208.7,13.1,-35.002615,-51.927903
RAUL MARTINS,2023-11-25 20:09:28,208.6,12.8,-35.085078,-51.983066
RAUL MARTINS,2023-11-25 20:14:38,209.5,12.8,-35.101085,-51.993996
RAUL MARTINS,2023-11-25 20:15:09,209.6,12.8,-35.10264,-51.995035
RAUL MARTINS,2023-11-25 20:16:26,209.6,12.8,-35.106771,-51.997846
RAUL MARTINS,2023-11-25 20:17:18,209.9,12.8,-35.109356,-51.999661
RAUL MARTINS,2023-11-25 20:18:37,209.7,12.8,-35.113498,-52.002548
RAUL MARTINS,2023-11-25 20:43:47,211.6,13.2,-35.191501,-52.062036
RAUL MARTINS,2023-11-25 20:44:08,211.2,13.2,-35.192551,-52.062821
RAUL MARTINS,2023-11-25 20:45:58,211.1,13.2,-35.198356,-52.067155
RAUL MARTINS,2023-11-25 20:49:27,210.3,13.3,-35.209456,-52.075248
RAUL MARTINS,2023-11-25 21:14:18,209.4,13.6,-35.289166,-52.132571
RAUL MARTINS,2023-11-25 21:15:18,209.5,13.5,-35.292473,-52.134893
RAUL MARTINS,2023-11-25 21:17:48,210.0,13.7,-35.300681,-52.14061
RAUL MARTINS,2023-11-25 21:20:27,210.0,13.6,-35.309421,-52.14677
RAUL MARTINS,2023-11-25 21:20:38,210.2,13.6,-35.309975,-52.147165
RAUL MARTINS,2023-11-25 21:25:27,209.0,13.6,-35.325885,-52.158131
RAUL MARTINS,2023-11-25 21:48:59,208.5,13.7,-35.403663,-52.21188
RAUL MARTINS,2023-11-25 21:51:59,209.0,13.7,-35.413636,-52.218595
RAUL MARTINS,2023-11-25 21:54:37,209.7,13.6,-35.422398,-52.224615
RAUL MARTINS,2023-11-25 22:22:48,209.0,13.5,-35.515091,-52.287865
RAUL MARTINS,2023-11-25 22:27:18,209.1,13.5,-35.529941,-52.29789
RAUL MARTINS,2023-11-25 22:30:18,209.3,13.6,-35.53974,-52.304695
RAUL MARTINS,2023-11-25 22:33:18,208.8,13.6,-35.549736,-52.311431
RAUL MARTINS,2023-11-25 22:56:49,209.1,13.8,-35.627335,-52.364331
RAUL MARTINS,2023-11-25 22:58:18,208.6,13.7,-35.632211,-52.367705
RAUL MARTINS,2023-11-25 23:02:18,208.1,13.8,-35.645628,-52.376635
RAUL MARTINS,2023-11-25 23:30:38,207.4,13.7,-35.740143,-52.440343
RAUL MARTINS,2023-11-25 23:33:58,209.2,13.8,-35.751333,-52.447553
RAUL MARTINS,2023-11-25 23:36:38,207.4,13.8,-35.760271,-52.453508
RAUL MARTINS,2024-01-27 03:47:41,30.5,11.5,-35.842185,-52.501593
RAUL MARTINS,2024-01-27 03:48:41,30.0,11.5,-35.839515,-52.49963
RAUL MARTINS,2024-01-27 03:49:31,31.0,11.6,-35.8373,-52.498005
RAUL MARTINS,2024-01-27 03:50:03,30.3,11.5,-35.835756,-52.49688
RAUL MARTINS,2024-01-27 03:50:31,30.5,11.5,-35.834456,-52.495951
RAUL MARTINS,2024-01-27 03:51:32,30.3,11.6,-35.831655,-52.493943
RAUL MARTINS,2024-01-27 03:51:41,30.1,11.6,-35.831241,-52.493646
RAUL MARTINS,2024-01-27 03:52:51,30.4,11.6,-35.828011,-52.491325
RAUL MARTINS,2024-01-27 04:13:43,29.2,11.8,-35.76964,-52.450116
RAUL MARTINS,2024-01-27 04:20:13,28.4,11.7,-35.751185,-52.437501
RAUL MARTINS,2024-01-27 04:21:03,29.4,11.7,-35.748868,-52.435908
RAUL MARTINS,2024-01-27 05:13:32,27.8,11.6,-35.600071,-52.338468
RAUL MARTINS,2024-01-27 05:20:51,27.7,11.7,-35.57903,-52.325106
RAUL MARTINS,2024-01-27 05:23:43,26.9,11.6,-35.570698,-52.319958
RAUL MARTINS,2024-01-27 05:24:02,27.0,11.6,-35.56979,-52.319403
RAUL MARTINS,2024-01-27 05:25:21,26.9,11.7,-35.566051,-52.317058
RAUL MARTINS,2024-01-27 05:26:21,26.7,11.7,-35.563115,-52.315226
RAUL MARTINS,2024-01-27 05:26:32,26.7,11.7,-35.562586,-52.3149
RAUL MARTINS,2024-01-27 05:27:21,26.8,11.7,-35.560268,-52.313465
RAUL MARTINS,2024-01-27 05:28:01,26.7,11.7,-35.558333,-52.312255
