NOME,DATAHORA,RUMO,VELOCIDADE,LATITUDE,LONGITUDE
GABRIELA MARTINS,2023-12-25 09:28:08,122.0,10.7,5.819501,-51.282173
GABRIELA MARTINS,2023-12-25 10:23:06,122.9,10.3,5.72761,-51.147955
GABRIELA MARTINS,2023-12-25 11:15:39,125.4,10.4,5.639051,-51.023321
GABRIELA MARTINS,2023-12-25 11:21:28,124.4,10.5,5.629045,-51.009521
GABRIELA MARTINS,2023-12-25 11:54:08,129.0,10.0,5.576016,-50.932408
GABRIELA MARTINS,2023-12-25 12:04:18,127.0,10.0,5.560093,-50.909363
GABRIELA MARTINS,2023-12-25 12:08:27,120.5,10.0,5.553683,-50.89968
GABRIELA MARTINS,2023-12-25 12:18:27,120.4,10.1,5.53873,-50.876035
GABRIELA MARTINS,2023-12-25 12:19:27,119.1,9.9,5.537233,-50.873655
GABRIELA MARTINS,2023-12-25 12:23:18,122.3,9.8,5.531498,-50.86475
GABRIELA MARTINS,2023-12-25 12:30:16,120.2,10.1,5.521531,-50.84798
GABRIELA MARTINS,2023-12-25 12:32:27,121.4,10.1,5.518441,-50.842696
GABRIELA MARTINS,2023-12-25 13:07:46,120.6,9.9,5.469458,-50.757005
GABRIELA MARTINS,2023-12-25 13:53:28,122.2,10.2,5.39902,-50.645365
GABRIELA MARTINS,2023-12-25 13:57:18,121.9,10.1,5.393481,-50.635955
GABRIELA MARTINS,2023-12-25 13:58:47,118.7,10.0,5.391401,-50.632336
GABRIELA MARTINS,2023-12-25 16:11:57,122.4,9.8,5.19093,-50.334666
GABRIELA MARTINS,2023-12-25 17:00:18,122.9,10.0,5.117163,-50.224176
GABRIELA MARTINS,2023-12-25 17:03:07,123.8,9.9,5.112851,-50.217655
GABRIELA MARTINS,2023-12-25 17:07:07,126.2,9.8,5.106596,-50.20847
GABRIELA MARTINS,2023-12-25 17:07:48,122.1,9.8,5.105558,-50.206981
GABRIELA MARTINS,2023-12-25 17:38:06,123.1,10.0,5.05939,-50.137023
GABRIELA MARTINS,2023-12-25 17:57:07,122.3,10.0,5.030916,-50.092403
GABRIELA MARTINS,2023-12-25 17:58:52,124.9,10.0,5.028068,-50.088153
GABRIELA MARTINS,2023-12-25 17:59:22,122.2,10.0,5.027318,-50.086986
GABRIELA MARTINS,2023-12-25 17:59:42,123.3,10.0,5.026811,-50.086206
GABRIELA MARTINS,2023-12-25 17:59:52,123.4,10.0,5.026558,-50.08582
GABRIELA MARTINS,2023-12-25 18:00:11,123.8,10.1,5.026068,-50.08509
GABRIELA MARTINS,2023-12-25 18:00:52,124.9,10.0,5.025011,-50.083501
GABRIELA MARTINS,2023-12-25 18:01:02,123.5,10.0,5.024725,-50.083073
GABRIELA MARTINS,2023-12-25 18:01:03,123.5,10.0,5.024725,-50.083073
GABRIELA MARTINS,2023-12-25 18:01:11,123.3,10.0,5.024511,-50.082753
GABRIELA MARTINS,2023-12-25 18:01:43,125.1,10.1,5.0237,-50.081513
GABRIELA MARTINS,2023-12-25 18:01:52,126.7,10.1,5.023471,-50.081163
GABRIELA MARTINS,2023-12-25 18:02:32,120.9,10.0,5.02244,-50.079561
GABRIELA MARTINS,2023-12-25 18:02:52,122.6,10.1,5.021951,-50.078825
GABRIELA MARTINS,2023-12-25 18:04:32,123.1,10.1,5.019388,-50.074893
GABRIELA MARTINS,2023-12-25 18:11:19,124.3,10.1,5.009153,-50.059183
GABRIELA MARTINS,2023-12-25 18:13:37,123.8,10.0,5.005555,-50.053763
GABRIELA MARTINS,2023-12-25 19:40:49,123.2,10.0,4.87203,-49.853645
GABRIELA MARTINS,2023-12-25 21:57:38,122.7,10.1,4.663521,-49.536105
GABRIELA MARTINS,2023-12-25 22:00:48,123.8,10.2,4.658666,-49.528513
GABRIELA MARTINS,2023-12-25 22:36:58,123.9,10.3,4.60222,-49.44181
GABRIELA MARTINS,2023-12-25 23:12:47,123.7,10.1,4.547438,-49.355301
GABRIELA MARTINS,2023-12-25 23:39:49,118.2,10.4,4.50756,-49.288343
GABRIELA MARTINS,2023-12-25 23:41:07,118.2,10.4,4.505675,-49.285088
GABRIELA MARTINS,2023-12-25 23:43:37,124.6,10.6,4.501886,-49.278883
GABRIELA MARTINS,2023-12-25 23:45:47,118.6,10.6,4.498711,-49.273423
GABRIELA MARTINS,2023-12-26 00:21:46,121.1,10.6,4.445618,-49.182938
GABRIELA MARTINS,2023-12-26 00:35:48,116.6,10.6,4.424788,-49.147668
GABRIELA MARTINS,2023-12-26 01:09:38,119.9,10.6,4.3736,-49.062025
GABRIELA MARTINS,2023-12-26 03:02:47,121.9,10.9,4.188843,-48.78089
GABRIELA MARTINS,2023-12-26 03:40:38,122.7,11.0,4.12511,-48.68444
GABRIELA MARTINS,2023-12-26 04:40:37,124.2,11.3,4.020855,-48.529178
GABRIELA MARTINS,2023-12-26 04:45:17,120.5,11.2,4.012756,-48.517046
GABRIELA MARTINS,2023-12-26 05:22:59,120.6,11.3,3.946868,-48.419183
GABRIELA MARTINS,2023-12-26 05:25:19,123.0,11.3,3.942731,-48.4131
GABRIELA MARTINS,2023-12-26 05:29:48,122.2,11.2,3.934888,-48.401496
GABRIELA MARTINS,2023-12-26 05:47:06,124.8,11.2,3.90499,-48.356368
GABRIELA MARTINS,2023-12-26 05:50:16,120.3,11.2,3.89958,-48.348096
GABRIELA MARTINS,2023-12-26 05:51:06,121.3,11.2,3.898193,-48.345968
GABRIELA MARTINS,2023-12-26 05:51:16,122.3,11.2,3.897916,-48.34553
GABRIELA MARTINS,2023-12-26 05:51:45,124.8,11.1,3.897066,-48.34423
GABRIELA MARTINS,2023-12-26 05:52:16,125.8,11.2,3.896183,-48.342888
GABRIELA MARTINS,2023-12-26 05:52:45,124.6,11.2,3.8954,-48.341671
GABRIELA MARTINS,2023-12-26 05:53:16,119.9,11.2,3.894541,-48.34031
GABRIELA MARTINS,2023-12-26 05:53:26,124.1,11.2,3.894221,-48.339833
GABRIELA MARTINS,2023-12-26 05:55:06,123.4,11.2,3.891398,-48.335456
GABRIELA MARTINS,2023-12-26 05:55:45,124.9,11.2,3.890291,-48.333763
GABRIELA MARTINS,2023-12-26 05:56:16,120.8,11.1,3.889455,-48.332471
GABRIELA MARTINS,2023-12-26 05:56:45,121.0,11.2,3.888601,-48.331171
GABRIELA MARTINS,2023-12-26 05:58:19,121.3,11.1,3.886101,-48.327248
GABRIELA MARTINS,2023-12-26 06:21:38,123.4,11.1,3.847126,-48.266513
GABRIELA MARTINS,2023-12-26 06:23:48,123.1,11.0,3.843441,-48.260838
GABRIELA MARTINS,2023-12-26 09:19:28,124.3,11.3,3.553208,-47.801335
GABRIELA MARTINS,2023-12-26 09:22:47,121.9,11.3,3.547606,-47.792555
GABRIELA MARTINS,2023-12-26 10:12:49,122.5,11.2,3.463385,-47.65966
GABRIELA MARTINS,2023-12-26 10:19:17,121.7,11.2,3.45256,-47.642521
GABRIELA MARTINS,2023-12-26 10:21:48,120.2,11.1,3.448445,-47.635993
GABRIELA MARTINS,2023-12-26 10:23:28,120.4,11.2,3.445673,-47.631608
GABRIELA MARTINS,2023-12-26 10:24:08,120.5,11.2,3.44458,-47.629781
GABRIELA MARTINS,2023-12-26 10:53:48,121.9,11.2,3.395745,-47.55153
GABRIELA MARTINS,2023-12-26 10:58:37,122.7,11.1,3.38786,-47.5388
GABRIELA MARTINS,2023-12-26 11:04:39,119.2,11.1,3.378183,-47.522893
GABRIELA MARTINS,2023-12-26 11:07:18,118.1,11.1,3.373956,-47.51585
GABRIELA MARTINS,2023-12-26 11:13:57,120.6,11.2,3.363296,-47.498131
GABRIELA MARTINS,2023-12-26 11:42:17,121.5,11.3,3.318391,-47.421601
GABRIELA MARTINS,2023-12-26 11:43:57,117.8,11.2,3.315813,-47.41715
GABRIELA MARTINS,2023-12-26 11:47:27,119.8,11.2,3.310335,-47.407765
GABRIELA MARTINS,2023-12-26 12:47:07,144.3,11.3,3.202015,-47.25789
GABRIELA MARTINS,2023-12-26 13:51:37,138.0,11.2,3.04592,-47.130283
GABRIELA MARTINS,2023-12-26 13:53:27,135.0,11.2,3.041708,-47.126355
GABRIELA MARTINS,2023-12-26 15:17:18,140.7,11.4,2.841911,-46.954566
GABRIELA MARTINS,2023-12-26 16:04:18,145.8,11.3,2.725445,-46.863041
GABRIELA MARTINS,2023-12-26 16:23:04,139.4,11.3,2.679738,-46.825498
GABRIELA MARTINS,2023-12-26 16:26:14,137.4,11.4,2.672033,-46.81907
GABRIELA MARTINS,2023-12-26 16:26:34,138.3,11.4,2.671218,-46.818391
GABRIELA MARTINS,2023-12-26 16:26:45,139.5,11.3,2.670775,-46.818016
GABRIELA MARTINS,2023-12-26 16:43:59,140.9,11.3,2.629018,-46.78313
GABRIELA MARTINS,2023-12-26 16:53:47,140.5,11.3,2.605218,-46.763113
GABRIELA MARTINS,2023-12-26 17:44:18,135.4,11.2,2.486221,-46.657301
GABRIELA MARTINS,2023-12-26 17:47:59,138.3,11.3,2.477738,-46.649643
GABRIELA MARTINS,2023-12-26 17:51:06,133.0,11.2,2.470431,-46.643078
GABRIELA MARTINS,2023-12-26 17:52:29,138.1,11.2,2.467278,-46.640258
GABRIELA MARTINS,2023-12-26 17:55:57,140.1,11.2,2.459125,-46.633105
GABRIELA MARTINS,2023-12-26 17:58:15,139.8,11.3,2.453538,-46.628235
GABRIELA MARTINS,2023-12-26 17:59:45,138.8,11.3,2.449913,-46.625171
GABRIELA MARTINS,2023-12-26 18:01:55,138.4,11.4,2.44461,-46.620781
