NOME,DATAHORA,RUMO,VELOCIDADE,LATITUDE,LONGITUDE
DANIEL PEREIRA,2023-11-25 06:27:21,82.7,0.0,-22.834931,-43.144193
DANIEL PEREIRA,2023-11-25 07:00:20,307.7,0.0,-22.83494,-43.144455
DANIEL PEREIRA,2023-11-25 07:39:18,292.9,0.0,-22.834858,-43.144535
DANIEL PEREIRA,2023-11-25 08:15:21,335.2,0.0,-22.834956,-43.144413
DANIEL PEREIRA,2023-11-25 13:09:21,94.3,0.0,-22.830438,-43.143803
DANIEL PEREIRA,2023-11-25 19:36:20,230.0,0.0,-22.83136,-43.145933
DANIEL PEREIRA,2023-11-25 22:39:21,212.9,0.0,-22.834556,-43.144248
DANIEL PEREIRA,2023-11-26 01:24:21,72.3,0.0,-22.830911,-43.143881
DANIEL PEREIRA,2023-11-26 01:57:21,80.2,0.0,-22.830858,-43.143515
DANIEL PEREIRA,2023-11-26 02:36:21,149.3,0.0,-22.830908,-43.143235
DANIEL PEREIRA,2023-11-26 04:48:20,197.7,0.0,-22.832605,-43.141835
DANIEL PEREIRA,2023-11-26 05:33:19,230.9,0.0,-22.834166,-43.14259
DANIEL PEREIRA,2023-11-26 08:54:21,78.6,0.0,-22.8346,-43.144238
DANIEL PEREIRA,2023-11-26 12:51:21,334.6,0.0,-22.833856,-43.145288
DANIEL PEREIRA,2023-11-26 13:45:21,110.4,0.0,-22.83056,-43.14366
DANIEL PEREIRA,2023-11-26 13:57:20,74.1,0.0,-22.830543,-43.143195
DANIEL PEREIRA,2023-11-27 05:00:21,280.8,0.0,-22.83108,-43.14318
DANIEL PEREIRA,2023-11-29 16:53:30,186.2,0.0,-22.820693,-43.153256
DANIEL PEREIRA,2023-11-30 04:59:30,231.2,0.0,-22.820651,-43.153231
DANIEL PEREIRA,2023-11-30 15:21:26,346.0,1.9,-22.818486,-43.1539
DANIEL PEREIRA,2023-11-30 15:26:56,106.0,2.2,-22.816473,-43.151745
DANIEL PEREIRA,2023-11-30 15:52:37,182.0,9.4,-22.86803,-43.154773
DANIEL PEREIRA,2023-11-30 15:55:48,180.5,9.4,-22.87645,-43.15495
DANIEL PEREIRA,2023-11-30 16:00:17,162.2,9.0,-22.88804,-43.154361
DANIEL PEREIRA,2023-11-30 16:32:47,185.9,10.4,-22.967276,-43.141153
DANIEL PEREIRA,2023-11-30 16:37:00,172.6,10.2,-22.979773,-43.142275
DANIEL PEREIRA,2023-11-30 16:40:07,138.3,10.3,-22.986696,-43.136843
DANIEL PEREIRA,2023-11-30 16:53:44,139.1,12.7,-23.020803,-43.105013
DANIEL PEREIRA,2023-11-30 16:53:54,139.1,12.7,-23.02125,-43.104598
DANIEL PEREIRA,2023-11-30 16:54:35,139.6,12.7,-23.0231,-43.102876
DANIEL PEREIRA,2023-11-30 16:54:54,139.5,12.8,-23.023966,-43.10206
DANIEL PEREIRA,2023-11-30 16:55:24,139.2,12.8,-23.025321,-43.10079
DANIEL PEREIRA,2023-11-30 16:57:35,124.4,12.6,-23.030833,-43.094906
DANIEL PEREIRA,2023-11-30 16:59:24,128.4,12.8,-23.034361,-43.089105
DANIEL PEREIRA,2023-11-30 17:00:04,126.9,12.9,-23.035826,-43.087048
DANIEL PEREIRA,2023-11-30 17:01:24,120.6,13.1,-23.038536,-43.082728
DANIEL PEREIRA,2023-11-30 17:04:05,122.1,13.2,-23.04382,-43.073808
DANIEL PEREIRA,2023-11-30 17:08:26,115.6,13.5,-23.05182,-43.058435
DANIEL PEREIRA,2023-11-30 17:37:56,109.0,13.2,-23.080886,-42.950458
DANIEL PEREIRA,2023-11-30 17:40:27,107.8,13.2,-23.083845,-42.941051
DANIEL PEREIRA,2023-11-30 17:52:15,109.4,13.0,-23.098196,-42.896746
DANIEL PEREIRA,2023-11-30 17:56:36,110.0,12.9,-23.103613,-42.88062
DANIEL PEREIRA,2023-11-30 17:56:46,109.9,12.9,-23.103791,-42.880071
DANIEL PEREIRA,2023-11-30 17:57:15,109.5,12.9,-23.10437,-42.878295
