NOME,DATAHORA,RUMO,VELOCIDADE,LATITUDE,LONGITUDE
PAULO MOURA,2023-11-25 09:51:26,58.0,0.0,-22.80228,-43.13625
PAULO MOURA,2023-11-25 17:06:26,260.8,0.1,-22.797856,-43.13671
PAULO MOURA,2023-11-25 17:09:23,267.2,0.1,-22.797841,-43.13682
PAULO MOURA,2023-11-26 03:57:26,289.0,0.1,-22.79815,-43.135325
PAULO MOURA,2023-11-26 06:00:28,273.3,0.1,-22.798443,-43.135681
PAULO MOURA,2023-11-26 17:30:24,140.4,0.1,-22.799185,-43.134001
PAULO MOURA,2023-11-26 17:30:27,140.4,0.1,-22.799185,-43.134001
PAULO MOURA,2023-11-26 20:27:28,320.2,0.1,-22.802093,-43.137593
PAULO MOURA,2023-11-27 07:54:26,253.0,0.0,-22.802028,-43.137643
PAULO MOURA,2023-11-27 08:03:27,253.0,0.0,-22.802013,-43.137596
PAULO MOURA,2023-11-27 11:09:26,89.4,0.0,-22.802296,-43.136636
PAULO MOURA,2023-11-27 22:15:25,331.6,0.0,-22.801291,-43.138428
PAULO MOURA,2023-11-27 23:29:13,239.6,3.2,-22.797798,-43.13756
PAULO MOURA,2023-11-28 00:04:43,162.4,8.3,-22.896946,-43.151763
PAULO MOURA,2023-11-28 00:06:53,161.4,7.6,-22.901458,-43.150236
PAULO MOURA,2023-11-28 00:14:42,162.2,5.2,-22.913948,-43.14564
PAULO MOURA,2023-11-28 00:15:13,162.1,5.3,-22.914646,-43.145381
PAULO MOURA,2023-11-28 00:24:13,169.0,8.7,-22.930246,-43.140103
PAULO MOURA,2023-11-28 00:24:53,171.4,9.3,-22.93199,-43.139786
PAULO MOURA,2023-11-28 00:26:02,178.8,10.0,-22.935196,-43.13952
PAULO MOURA,2023-11-28 00:27:02,183.5,10.8,-22.938078,-43.139655
PAULO MOURA,2023-11-28 00:27:22,184.9,11.0,-22.939138,-43.139765
PAULO MOURA,2023-11-28 00:28:02,186.0,11.4,-22.94125,-43.140005
PAULO MOURA,2023-11-28 00:28:22,186.5,11.4,-22.942253,-43.140125
PAULO MOURA,2023-11-28 00:36:42,186.5,13.2,-22.971171,-43.143431
PAULO MOURA,2023-11-28 00:39:34,174.3,13.0,-22.98168,-43.14423
PAULO MOURA,2023-11-28 01:05:03,155.5,12.7,-23.053818,-43.086513
PAULO MOURA,2023-11-28 01:08:43,180.4,13.2,-23.066773,-43.083843
PAULO MOURA,2023-11-28 01:11:14,204.0,13.7,-23.075895,-43.086361
PAULO MOURA,2023-11-28 01:17:51,219.7,14.7,-23.098555,-43.101326
PAULO MOURA,2023-11-28 01:42:05,239.7,15.3,-23.159943,-43.189533
PAULO MOURA,2023-11-28 01:44:22,239.5,15.3,-23.16494,-43.198573
PAULO MOURA,2023-11-28 01:48:23,237.7,15.2,-23.173848,-43.21459
PAULO MOURA,2023-11-28 02:07:15,235.1,15.3,-23.218636,-43.286863
PAULO MOURA,2023-11-28 02:14:46,235.5,15.5,-23.236846,-43.3158
PAULO MOURA,2023-11-28 02:17:51,236.0,15.5,-23.244366,-43.327695
PAULO MOURA,2023-11-28 02:20:16,235.4,15.6,-23.25026,-43.336975
PAULO MOURA,2023-11-28 02:25:10,235.2,15.6,-23.26235,-43.35587
PAULO MOURA,2023-11-28 02:28:04,235.6,15.5,-23.26945,-43.367083
PAULO MOURA,2023-11-28 02:53:39,243.0,15.4,-23.342401,-43.455521
PAULO MOURA,2023-11-28 03:01:34,243.6,15.5,-23.357351,-43.488853
PAULO MOURA,2023-11-28 03:27:22,243.6,15.5,-23.40597,-43.597361
PAULO MOURA,2023-11-28 03:54:16,243.9,15.7,-23.456918,-43.711145
PAULO MOURA,2023-11-28 03:56:22,243.6,15.6,-23.460948,-43.720025
PAULO MOURA,2023-11-28 04:06:46,243.6,15.5,-23.48093,-43.763933
PAULO MOURA,2023-11-28 04:09:15,243.5,15.4,-23.485603,-43.774313
PAULO MOURA,2023-11-28 04:50:34,244.0,15.5,-23.562746,-43.94792
PAULO MOURA,2023-11-28 04:53:40,243.8,15.5,-23.568643,-43.960876
PAULO MOURA,2023-11-28 05:15:17,244.0,15.2,-23.609396,-44.05066
PAULO MOURA,2023-11-28 05:49:09,244.7,14.8,-23.671498,-44.189928
PAULO MOURA,2023-11-28 06:01:27,249.9,14.9,-23.690178,-44.241381
PAULO MOURA,2023-11-28 06:01:34,249.7,14.9,-23.690323,-44.241801
PAULO MOURA,2023-11-28 06:01:57,249.2,14.9,-23.690911,-44.243505
PAULO MOURA,2023-11-28 06:02:40,249.5,14.9,-23.691913,-44.246458
PAULO MOURA,2023-11-28 06:03:16,249.4,14.9,-23.692786,-44.24899
PAULO MOURA,2023-11-28 06:03:33,249.5,14.9,-23.693223,-44.250253
PAULO MOURA,2023-11-28 06:04:03,250.0,14.9,-23.693946,-44.252361
PAULO MOURA,2023-11-28 06:04:27,249.7,14.9,-23.694503,-44.253978
PAULO MOURA,2023-11-28 06:04:33,249.7,14.9,-23.694646,-44.254398
PAULO MOURA,2023-11-28 06:06:33,249.1,14.9,-23.69755,-44.262818
PAULO MOURA,2023-11-28 06:07:33,250.6,14.8,-23.698975,-44.267051
PAULO MOURA,2023-11-28 06:08:33,250.2,14.8,-23.70038,-44.271325
PAULO MOURA,2023-11-28 06:34:16,250.1,14.8,-23.735973,-44.379056
PAULO MOURA,2023-11-28 06:56:21,251.0,15.1,-23.766663,-44.473038
PAULO MOURA,2023-11-28 07:00:17,250.7,15.1,-23.772063,-44.48988
PAULO MOURA,2023-11-28 07:02:57,251.6,15.1,-23.775811,-44.501448
PAULO MOURA,2023-11-28 07:22:39,251.1,15.3,-23.80321,-44.587026
PAULO MOURA,2023-11-28 07:31:11,250.7,15.2,-23.815255,-44.62426
PAULO MOURA,2023-11-28 08:19:53,245.7,15.2,-23.89366,-44.831886
PAULO MOURA,2023-11-28 08:38:54,245.2,15.0,-23.927651,-44.911458
PAULO MOURA,2023-11-28 08:42:23,244.6,15.0,-23.93392,-44.925973
PAULO MOURA,2023-11-28 09:49:17,259.7,14.7,-24.023005,-45.208056
PAULO MOURA,2023-11-28 10:10:35,282.7,13.8,-24.012975,-45.302491
PAULO MOURA,2023-11-28 10:20:58,283.0,12.3,-24.004531,-45.34192
PAULO MOURA,2023-11-28 10:52:09,306.8,10.8,-23.97153,-45.444573
PAULO MOURA,2023-11-28 11:07:37,315.8,10.7,-23.938685,-45.480525
PAULO MOURA,2023-11-28 11:28:49,326.0,3.6,-23.910365,-45.502861
PAULO MOURA,2023-11-28 12:29:09,350.5,0.0,-23.881396,-45.517673
PAULO MOURA,2023-11-28 12:48:39,359.4,0.2,-23.88108,-45.518676
PAULO MOURA,2023-11-29 01:55:56,40.2,0.5,-23.881255,-45.513353
PAULO MOURA,2023-11-29 04:43:52,270.0,0.0,-23.881103,-45.513085
PAULO MOURA,2023-11-29 04:52:51,210.7,0.1,-23.881235,-45.513221
PAULO MOURA,2023-11-29 14:40:56,196.5,0.0,-23.881573,-45.513848
PAULO MOURA,2023-11-30 00:58:56,260.6,0.0,-23.881598,-45.51372
PAULO MOURA,2023-11-30 13:07:58,162.0,4.8,-23.88473,-45.51682
PAULO MOURA,2023-11-30 13:24:41,75.3,8.0,-23.882495,-45.476611
PAULO MOURA,2023-11-30 13:27:51,71.9,7.8,-23.880588,-45.469345
PAULO MOURA,2023-11-30 14:16:01,3.6,1.1,-23.810771,-45.387355
PAULO MOURA,2023-12-02 13:16:28,226.7,0.0,-23.809893,-45.387405
PAULO MOURA,2023-12-02 13:30:19,68.8,1.4,-23.811593,-45.385076
PAULO MOURA,2023-12-02 13:31:09,36.1,1.5,-23.81132,-45.38479
PAULO MOURA,2023-12-02 13:56:58,224.9,11.9,-23.845773,-45.423641
PAULO MOURA,2023-12-02 14:00:50,226.3,11.3,-23.854353,-45.43321
PAULO MOURA,2023-12-02 14:34:00,191.4,12.4,-23.937951,-45.491665
PAULO MOURA,2023-12-02 15:05:39,143.9,12.7,-24.034556,-45.447488
PAULO MOURA,2023-12-02 15:08:10,144.5,12.7,-24.041786,-45.441881
PAULO MOURA,2023-12-02 15:14:19,144.5,12.6,-24.059436,-45.42814
PAULO MOURA,2023-12-02 15:41:49,145.2,12.7,-24.138878,-45.367653
PAULO MOURA,2023-12-02 15:44:19,145.2,12.6,-24.146105,-45.362243
PAULO MOURA,2023-12-02 16:26:00,143.5,12.5,-24.264038,-45.267018
PAULO MOURA,2023-12-02 16:51:29,144.1,12.6,-24.336763,-45.20951
PAULO MOURA,2023-12-02 16:55:19,144.3,12.6,-24.347836,-45.200866
PAULO MOURA,2023-12-02 16:59:39,144.5,12.6,-24.360341,-45.191098
PAULO MOURA,2023-12-02 17:24:10,73.2,11.8,-24.355386,-45.113526
PAULO MOURA,2023-12-02 17:28:39,73.1,11.8,-24.351076,-45.098005
PAULO MOURA,2023-12-02 17:28:56,73.1,11.8,-24.350751,-45.09685
